Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.4292011725824701,0.3218065137754035,0.666,0.47163969298607594,1.0705764380014189,0.07708159400454719
"Debiased lasso (Javanmard) (MCAR, IPW)",0.4315601901324044,0.3236628685308526,0.679,0.4668607929565301,1.096130067488862,0.07796735974056732
"Debiased lasso (Javanmard) (MAR, Observed)",0.4117784372679523,0.2999449317676356,0.698,0.45912525524087644,1.055088834626916,0.07568432578941739
"Debiased lasso (Javanmard) (MAR, IPW)",0.41302723468086816,0.3059706535914669,0.705,0.4560427611529428,1.0797476976253935,0.07658280976176426
Debiased lasso (Javanmard) (Full oracle data),0.2274435532712712,0.17728187670650883,0.891,0.3116392144772541,0.9211330849702122,0.04642165366479629
"Lasso Refitting (MCAR, Observed)",0.7068869546117649,0.6134165164342564,0.689,0.46290279757201724,1.4767287619297922,0.6828554143800758
"Lasso Refitting (MCAR, IPW)",0.40371820232064365,0.350672356093119,0.724,0.44701677820860364,1.0656066745472967,0.21168086598433986
"Lasso Refitting (MAR, Observed)",0.6778251683317704,0.5806851760005551,0.703,0.45693653826324726,1.4321460539742543,0.6154793545434226
"Lasso Refitting (MAR, IPW)",0.410362064922918,0.3481939185627719,0.705,0.4560427611529428,1.0505485356191258,0.21139796746419595
Lasso Refitting (Full oracle data),0.2807650186937965,0.241033519154018,0.78,0.41424630354415964,0.8397482284737824,0.11461516596948687
"Proposed framework (MCAR, 1SE)",0.589473758559511,0.41680124137136265,0.925,0.26339134382131846,2.5366597864129363,0.31751583437211134
"Proposed framework (MAR, 1SE)",0.5747266414779935,0.40718749838435303,0.902,0.29731464814233416,2.389072182464175,0.31814003274332736
