Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.07734138188625377,0.0579046648860521,0.986,0.11749042514179613,0.48603716761828103,0.03290013239017339
"Debiased lasso (Javanmard) (MCAR, IPW)",0.07735068057906634,0.05790276676608159,0.992,0.08908422980528034,0.5272016892538642,0.034291247806108316
"Debiased lasso (Javanmard) (MAR, Observed)",0.07409101388890073,0.05852988409234935,0.987,0.11327400407860577,0.48047147610176244,0.03232679843200627
"Debiased lasso (Javanmard) (MAR, IPW)",0.07531874403154867,0.05992282524222667,0.99,0.09949874371066199,0.5214361904776902,0.034396961820731
Debiased lasso (Javanmard) (Full oracle data),0.06339123854843617,0.04846794692475779,0.99,0.09949874371066199,0.42730770613842767,0.02606877630780373
"Lasso Refitting (MCAR, Observed)",0.06708257547752149,0.051383251490137775,0.943,0.23184261903282585,0.3259791208925385,0.02453884039353965
"Lasso Refitting (MCAR, IPW)",0.06746056217208612,0.051700662212546655,0.938,0.24115555146004825,0.325586163553995,0.026335730443214325
"Lasso Refitting (MAR, Observed)",0.06830892733718884,0.050338018887753126,0.952,0.2137662274541982,0.32084416842783764,0.0237807938463171
"Lasso Refitting (MAR, IPW)",0.0699220013642958,0.05158229492852277,0.944,0.22992172581119863,0.32016589287797126,0.025103305997533902
Lasso Refitting (Full oracle data),0.05779655839459777,0.04324110087168339,0.948,0.22202702538204672,0.2721324556501775,0.01779213906850265
"Proposed framework (MCAR, 1SE)",0.08472078130112212,0.06326741007690956,0.927,0.2601365026289083,0.37547808378365205,0.024860749553963498
"Proposed framework (MAR, 1SE)",0.0850335976363529,0.06099050113874744,0.921,0.26973876250921,0.3695126157742414,0.02456538284568451
