m_hat1,asym_var1,sigma_hat1,m_hat2,asym_var2,sigma_hat2
2.2969539192232573,0.0,2.1701274309186093e-06,2.1672185783772897,0.0,1.9028214050466762e-06
2.345319254281816,0.0,2.731062535710196e-06,2.5704697126045786,13.778131373623937,2.905985794288399e-06
2.2934599271606713,1.669142329659732,2.6662102126366026e-06,2.4488410858610856,0.0,2.7749440225801203e-06
1.8791973468900909,0.0,2.973290816739924e-06,1.7027007600748532,0.0,3.042200409231616e-06
2.16365284207273,0.0,3.7075673187044313e-06,2.038314604119586,0.0,3.440672831796924e-06
2.059848846222066,3.439420617562694,3.0876240550575055e-06,2.268351829566671,0.0,2.632253447210115e-06
2.345854433593889,5.859550246482916,3.0046109640141132e-06,2.1392458162112398,0.0,2.3804709677492766e-06
2.305826173875746,0.0,3.422410915526516e-06,2.7404156208081325,50.453227062028255,3.0782063261309952e-06
2.1907479268719836,5.633790934816527,2.404598626047376e-06,2.048089867227325,8.762719949613754,2.7509648805658532e-06
2.563922123425936,0.0,2.7255812805218024e-06,2.231196728107132,24.574456685679444,2.917543000261344e-06
1.913339655238714,0.0,2.973019545905953e-06,1.9369084013786484,4.839010710443046,2.985566306459945e-06
2.2986756134809787,0.0,4.504355106125163e-06,2.4811732984284585,7.199337831639125,3.5394467895451688e-06
1.8393006893155743,6.0736073626000895,4.736261430997423e-06,1.9317683677830835,1.630824858915055,3.6811761551113785e-06
2.3233561301908763,10.436235833752978,2.7421919734640794e-06,2.33709818882859,7.099204738200064,3.149297780892038e-06
2.314243917190294,0.0,3.29293887895376e-06,2.061929782834822,5.0906643601281045,2.9211816993546407e-06
2.283727112624281,9.222581388148225,3.6100843514585756e-06,2.4943162464659725,4.880767147844353,5.688452549518873e-06
2.392257960142455,0.0,3.134876388981158e-06,1.992347142890247,33.570477028637065,2.9489993951320114e-06
2.167156281070454,1.3962054480989083,2.543983512431563e-06,2.4270128723743096,2.9990051548644603,3.2792216620262334e-06
1.5104617844522497,0.0,3.8022011012970056e-06,1.7399989544625987,0.0,4.0241316024608116e-06
2.1125821107453193,3.6831621738414393,3.548844605640676e-06,2.116403936515464,4.544629194077212,3.1626865587370626e-06
2.2421239287658064,0.0,2.626712597491181e-06,2.422479091337327,8.281429352147692,3.4836279327190324e-06
2.6271083771471475,11.151967247446,2.937109710130422e-06,2.508648974922293,0.0,2.8658707391771373e-06
2.1449124258496806,3.203249196614349,3.2098641694344804e-06,2.0245142976611965,0.0,3.866453012467721e-06
2.117085410061991,0.0,2.66830583115744e-06,2.3227196944388164,0.0,2.2944332527876194e-06
2.3757897611934697,157.46653807971558,4.16420130948675e-06,2.2404049134420556,0.0,3.147073764058777e-06
2.7191634937128946,0.0,2.6254876015758354e-06,2.5120742829473452,1.8718877032026182,3.493990387757837e-06
2.633029568927837,0.0,2.8418718833290588e-06,2.1110998170525104,2.808743050360213,2.6206143954816955e-06
2.3266671788485165,52.58001571480207,2.161188657691646e-06,2.569535789439889,71.36614759840833,2.64520376883053e-06
1.438656454986785,5.176612704873777,3.805139502692397e-06,1.434271717206279,0.0,2.9519494936112303e-06
1.7920118548549655,0.0,3.44946816357208e-06,1.9431896634319596,5.8811048347199675,3.4977408974132915e-06
2.5456513888088086,7.753949548740816,3.0366551917143065e-06,2.2676734282523086,0.0,2.4646660628313504e-06
2.6744261289409166,0.0,3.7027645164088276e-06,2.532103597334744,0.0,3.154812985413501e-06
2.758465187538593,9.161495993917933,3.521039614151474e-06,2.6471648108057795,0.0,3.1723495716383715e-06
2.042557815089737,0.0,2.7235815020886997e-06,2.159929230991374,1.3125507137236996,2.854813812637933e-06
1.9461390324186245,0.0,3.422523679499387e-06,2.0937298748021096,0.0,2.6494023041647724e-06
2.292269614799866,0.0,3.968671136128456e-06,1.93082155151631,0.0,3.5503148319552916e-06
2.40078844728768,2.771904867466004,2.7775692393551323e-06,2.394960515016833,3.1305785853447534,2.486501054259146e-06
2.5075893976644408,5.66529132119681,3.2253357156356448e-06,2.5099998687016316,0.0,2.6264738322671585e-06
