Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.10529259238766457,0.07860433150695066,0.958,0.20058913230780973,0.5266159693768856,0.030340103808812163
"Debiased lasso (Javanmard) (MCAR, IPW)",0.10574158445585868,0.07908548862147075,0.967,0.1786365024288149,0.5630198784258682,0.03211197548098033
"Debiased lasso (Javanmard) (MAR, Observed)",0.1057101654478508,0.07854070023258758,0.951,0.21586801523152982,0.522044700891469,0.029468859385318742
"Debiased lasso (Javanmard) (MAR, IPW)",0.10656644016679974,0.07991085372288369,0.954,0.2094850830011531,0.5562984878114546,0.03155250354677477
Debiased lasso (Javanmard) (Full oracle data),0.08215341520001589,0.06066214469451727,0.979,0.14338409953687334,0.47075907565404373,0.021940546364305074
"Lasso Refitting (MCAR, Observed)",0.12333449194266088,0.09134514656989412,0.874,0.331849363416596,0.47243681692044454,0.035335098574555676
"Lasso Refitting (MCAR, IPW)",0.11316545176438071,0.08646623388956573,0.86,0.3469870314579494,0.4289071946054726,0.030622260939284655
"Lasso Refitting (MAR, Observed)",0.12092533868126745,0.08537858309574589,0.888,0.31536645351083237,0.4620105564272244,0.03291187802575935
"Lasso Refitting (MAR, IPW)",0.11324551142264229,0.08075154132932731,0.877,0.3284372086107175,0.4235134524385396,0.03002808779565495
Lasso Refitting (Full oracle data),0.08947925930055461,0.0679211696806425,0.891,0.3116392144772541,0.3644485317676498,0.02035684822479094
"Proposed framework (MCAR, 1SE)",0.12078645778956343,0.09080491315387818,0.889,0.31413213780191296,0.4935826074349491,0.03501567296879526
"Proposed framework (MAR, 1SE)",0.12235074671024536,0.08789403718564558,0.899,0.3013287241535396,0.4825716750650631,0.03523569890769518
