m_obs1,ci_len_obs1,m_obs2,ci_len_obs2,m_ipw1,ci_len_ipw1,m_ipw2,ci_len_ipw2,m_full,ci_len_full
3.8293763740769,0.657210372163247,4.05826212187122,0.640320385957359,3.8421837903873,0.608133975256243,4.07801113592321,0.588310611587206,3.92524475129521,0.677003045983372
3.81692353059938,0.624896863953093,3.65905543384284,0.594442678696547,3.81775441063873,0.57713347410276,3.67122817656573,0.550134639819725,3.83723027158886,0.688284710819146
3.97322034194216,0.588097126321342,3.90909153608124,0.580827236325234,3.98112073243481,0.533688782170397,3.91157933440789,0.534706418655475,3.89358883932603,0.684708642500174
3.99133286195502,0.576612016234991,4.04940876567942,0.622596057826735,3.99796691897779,0.517339946732129,4.05515569186095,0.573568089675993,3.94679610565266,0.634575835802537
3.6009388228743,0.582539641276048,3.66776089305122,0.591592494136901,3.60313786846546,0.533188199924815,3.67080285107907,0.55676337014742,3.61969486244077,0.679498002003982
4.33897297263634,6.03801585800315,4.06158000206679,0.639890959210362,3.89251017826091,0.567927778719878,4.07496977379135,0.595057818766451,3.97233030015767,0.711011810513501
3.94540080197018,0.557082945552527,3.71629553645422,2.10189079456577,3.96109403750368,0.506330416389873,3.78989603994315,0.53906935878166,3.66931866653574,0.62011468457252
3.71910883970842,0.660036511482771,3.79128772606897,0.632368619315421,3.71652918249494,0.596050931086575,3.79153663321026,0.58597156629976,3.74542809641522,0.702095041366654
3.7996261826826,0.588074121313962,3.7512397124181,0.630617578459822,3.8077748129509,0.531547685711383,3.77216102432962,0.594443512095872,3.67827109064152,0.703616714557379
4.13634987887484,0.61115871141264,4.09625784951842,0.58069666590624,4.15960203300373,0.548169608785354,4.11470526670311,0.538034433152472,3.80241119914073,0.679192102261269
3.91433101908123,0.583001705834134,3.78982676058214,0.601150915054291,3.92570280443827,0.539568676899611,3.79499008599135,0.561102388868696,4.00334706327643,0.640379047360414
3.84107921590688,0.619362741089539,3.96751880374337,0.581407569022091,3.85252470242594,0.56730111426199,3.9676525172022,0.532606137704517,3.98373439699184,0.663104029633223
4.03223382986668,0.622043514632663,4.08976564079073,0.651794383914609,4.04916256537727,0.575770747724803,4.08617305829269,0.595711354473373,3.86246405577797,0.682682454555085
3.93511098230299,0.626943605014044,3.79828572011578,0.632563891200795,3.94913501563069,0.567143955314627,3.81475688288316,0.586886280831297,3.82680489934294,0.651270758022514
3.80083804029604,0.638233961856722,3.6380415849724,0.656569867854156,3.81752671330326,0.573726660900975,3.64787081402744,0.595929186978178,3.87821117511134,0.742857706788554
3.70936370573602,0.571586263330973,3.54630053556011,0.566519064721864,3.71340149403346,0.513090466551261,3.55374907417083,0.516611863017709,3.66526567980098,0.640127910058256
3.92398684499538,0.65644289402106,3.91145808180437,0.577784839723034,3.91921689493919,0.604322257180933,3.91758043907452,0.533849682872128,3.78117196996584,0.653052850964492
3.86573116113524,0.587671354269145,3.79951800057674,0.561939389962799,3.89133350482398,0.543985424729284,3.81833238239179,0.527484250494741,3.72202056098628,0.643284686462904
4.06866769335197,0.643361013601396,4.03742551059888,0.572804702043969,4.08230159353844,0.589448261013244,4.04752326064163,0.535276111655988,4.01407195721138,0.65615695682885
3.63857810758982,0.579377434910098,3.5083575930827,0.590090691933953,3.63950494604373,0.535589627654026,3.51477930387862,0.550319937907574,3.61879192032165,0.661478682201293
3.62600915194723,0.591512947425207,3.72771130629668,0.601684417782336,3.63983426413669,0.536145772279873,3.72736585636971,0.56802338854678,3.83939283181964,0.601435175781691
3.98652543973532,0.57120181597795,3.64053117160535,0.656602782613919,3.984075190259,0.50956122097039,3.62882711314883,0.605141164442037,3.84492784518922,0.602375995938431
3.82638737285661,0.58545117266457,3.81642607411471,0.56639608349527,3.84817992670553,0.527976074423247,3.82727073761617,0.520696484281639,3.92809489409903,0.605500735516495
3.85663786355452,0.568508909997312,3.89090024492651,0.5789199497155,3.86197637681293,0.521054091312159,3.89556992277428,0.534982237448102,4.06603273702796,0.650800233036287
3.83439345177544,0.646659471297276,3.75439877641566,0.707278647130556,3.84375146742897,0.591312270228106,3.76561939235744,0.656092658188653,3.93590433494758,0.72276535464069
4.05527738808028,0.558039690521539,3.82476380128157,0.528717449582221,4.06309636440675,0.5113566433214,3.84006168092734,0.492312567494831,3.71693571632271,0.619313812830993
3.93652017817755,0.560419037045888,3.97226312171612,0.600081637415887,3.95163279353562,0.51088660882383,3.97916054519106,0.549322684372738,3.79042241403315,0.667550974811014
