m_hat1,asym_var1,sigma_hat1,m_hat2,asym_var2,sigma_hat2
3.3932685716924342,0.0,1.1391305358851337e-05,3.404005479567001,11.216536720943328,5.578177393021822e-06
4.74203659918967,0.0,8.538474986321849e-06,4.277250905006369,14.938271687302866,6.836947667596592e-06
3.2124181084066383,0.0,6.231812462387266e-06,3.280578684589358,0.0,5.996244718121325e-06
3.2226471584849574,0.0,7.328598106929689e-06,3.4285175395281806,0.0,5.5329526824017955e-06
3.664138269430738,8.3031289835046,6.561658797423287e-06,3.018668587195617,6.8963882866835435,7.125873615716184e-06
3.770069013423955,46.560280347790645,8.974186380172688e-06,4.0498429838048144,0.0,8.169962303701374e-06
4.349831050726954,0.0,8.815602957033919e-06,4.793624917863876,0.0,8.949063854298671e-06
3.669081352385888,99.91218976742448,6.337050180677196e-06,3.8955178852804813,0.0,5.445450170037251e-06
2.923307244834068,0.0,6.1702737214269045e-06,3.3488218110849832,0.0,7.2426307794447015e-06
4.285430387912151,50.371922548647206,6.302545419641644e-06,4.075430417871224,15.972032507749205,7.339491015365373e-06
4.716563536596058,0.0,9.142291582248753e-06,5.278483016360015,0.0,8.339147677843342e-06
2.7714078573017975,19.532510769529136,1.41426060519098e-05,2.924751083646526,0.0,1.1846054498565006e-05
4.216202086557492,4.81955680700916,6.892272066930479e-06,3.3322966572027934,39.12137384817631,1.474448499166934e-05
3.801606686014622,0.0,7.750027600146066e-06,3.3183478458551803,0.0,6.321285596276277e-06
4.126662135657428,0.0,9.225102331611247e-06,3.4459325196117834,34.318779335350236,1.5056756814239297e-05
4.203613867450529,10.270342837868794,6.850958322225708e-06,4.339748474188307,0.0,6.565372983874147e-06
4.220919239362863,17.44994771894762,8.320739842501489e-06,4.218824940773575,10.622667165909146,7.212852507212621e-06
4.991158280794538,0.0,1.5060309348567438e-05,4.305109170505619,29.613351079900983,1.4773603382939011e-05
1.8949175087139183,0.0,1.2407198873041187e-05,2.882090498091272,0.0,1.2051018675337307e-05
2.8828428856933628,0.0,9.59629259171063e-06,3.5095828367578425,5.72446542974867,7.569555753782966e-06
4.293795928826139,47.848000909476426,8.192022520558252e-06,4.491153242358296,0.0,8.626108965416173e-06
3.7374353032375924,26.658364611310994,5.199836648198019e-06,3.2761980926599543,0.0,7.62479948878879e-06
4.747642547864136,0.0,1.2714375477761483e-05,4.011016973896892,0.0,1.276900126934754e-05
5.245195881347571,0.0,5.65603636628474e-06,5.428438432397347,0.0,6.635063160997066e-06
5.546438761192893,19.19257091518225,9.172402393306053e-06,4.98430091856205,0.0,8.156443424235169e-06
2.278552989143898,0.0,7.751979607073787e-06,3.3054231640591416,0.0,8.743220472190838e-06
3.1616203793835944,0.0,8.909001648955395e-06,2.8830231680614737,39.49926331609484,9.81542754179762e-06
