m_hat1,asym_var1,sigma_hat1,m_hat2,asym_var2,sigma_hat2
3.2187272837502525,7.256346816530994e-12,1.8227735217476373e-10,3.059521691534067,5.073189752425779e-12,1.2854305596788847e-10
3.0569820786009307,5.012654095843468e-12,1.2370190362523513e-10,3.0252243457618593,4.436697835878777e-12,1.1337477611682456e-10
3.065588043028172,6.737483478145217e-12,1.7335114235360899e-10,3.019054311193541,7.458522313449901e-12,1.8868734791752003e-10
3.0581315201852544,3.89848909529497e-12,9.777360909385598e-11,3.1179959780320976,3.779549169691574e-12,9.635997484420373e-11
3.1316496608632565,5.643682046429286e-12,1.4131761813314373e-10,3.182603208869636,5.1004349219081325e-12,1.3192292426512832e-10
3.0774957282271456,5.988156556558839e-12,1.4886321140073733e-10,3.100937888421247,5.464264199068326e-12,1.3866747998276147e-10
3.070452001427746,6.381723463815816e-12,1.6017998767707815e-10,3.112374591031139,6.589787843467203e-12,1.6644922300322518e-10
2.936316781699037,6.0350545491327585e-12,1.4868787183385823e-10,3.0117438577306093,5.8164488610361606e-12,1.4691571512688887e-10
3.00662831027635,4.489251760262877e-12,1.096885074933237e-10,3.1069832591882096,4.723485127242401e-12,1.1968233847044373e-10
2.9561016650699257,6.620328432006949e-12,1.6457875501546745e-10,3.053063880329637,5.966330753595291e-12,1.5292905691356397e-10
3.123477551364476,6.905362989782361e-12,1.727721268056009e-10,3.0703097877607792,5.605800659755782e-12,1.4214878003957156e-10
3.1670595513041473,7.786537069150806e-12,1.9528535619422236e-10,3.1789419771595884,7.967778968905203e-12,2.0670206250132528e-10
3.112827031476791,5.660443425473449e-12,1.4252632366013257e-10,3.277762141209357,5.828447191926579e-12,1.4928108592489003e-10
3.0679149998403203,6.344715827963862e-12,1.6113579743421936e-10,3.139823077214623,5.691087871112483e-12,1.470901268362067e-10
3.103566564597732,5.138194609001786e-12,1.287627878367982e-10,3.222756726197754,7.177267650548162e-12,1.8284432704356932e-10
2.980045127393433,6.924616027193e-12,1.721432246783705e-10,2.9814425149246673,6.173893048991288e-12,1.5606644254311912e-10
2.9888334772991514,8.002440952305879e-12,2.0228929804538818e-10,2.9790342664334943,7.453319718081877e-12,1.9234764160260828e-10
3.1835101627691182,1.0038637950623221e-11,2.5096594876558055e-10,3.136932088786036,1.0742625772790564e-11,2.685656443197641e-10
3.040423496224867,6.584440443704613e-12,1.6222329538544288e-10,3.0496984127506357,6.413662903745759e-12,1.641446680738955e-10
2.983643954715413,6.2105141765875445e-12,1.545157954481393e-10,3.02059126969539,6.333630948426556e-12,1.6110346986049288e-10
3.102731258621849,5.633988056664889e-12,1.4107488093915557e-10,3.100898973970267,5.037871145909999e-12,1.2932716653882228e-10
2.9994358683351625,6.269681114604198e-12,1.5674202786510496e-10,3.0902315704627394,6.067390166869494e-12,1.5669850041559242e-10
3.078021901995477,7.829097199360456e-12,1.9650878011664327e-10,3.0874435910591638,7.530205879735878e-12,1.9301432171842629e-10
2.9647271226430383,4.290612055255042e-12,1.0947368646146722e-10,2.9978782411588267,5.670436371458281e-12,1.4255255992868875e-10
3.1383909833710106,7.814386888418954e-12,1.9489024500692205e-10,3.1252617318871363,7.302372768166742e-12,1.9014234503310527e-10
