Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.13423992808773574,0.10058402835825431,0.814,0.38910666917954523,0.43304895101023316,0.029908828484223913
"Debiased lasso (Javanmard) (MCAR, IPW)",0.13486989551684425,0.10117217210072652,0.814,0.38910666917954523,0.4342088862686345,0.029862047169484714
"Debiased lasso (Javanmard) (MAR, Observed)",0.1332657306348409,0.0988664478166752,0.803,0.3977323220458705,0.42998297104496525,0.028958851892192737
"Debiased lasso (Javanmard) (MAR, IPW)",0.13424245524853326,0.10049166246607548,0.803,0.3977323220458705,0.43138715146809037,0.029317266011662037
Debiased lasso (Javanmard) (Full oracle data),0.10378419541275047,0.0774075158060357,0.871,0.33519994033412354,0.3878716970193711,0.021625984227101165
"Lasso Refitting (MCAR, Observed)",0.155089186028784,0.11618238023291423,0.873,0.33297297187609687,0.5987736777787223,0.04504607028257122
"Lasso Refitting (MCAR, IPW)",0.1431569318808031,0.10908130467828088,0.864,0.34278856457005674,0.5438254967002596,0.03893178137118646
"Lasso Refitting (MAR, Observed)",0.15010825925511578,0.10730562212558321,0.89,0.31288975694324034,0.5854309949111577,0.041548338674270206
"Lasso Refitting (MAR, IPW)",0.1402429293787117,0.10077995436576105,0.883,0.32142028560748925,0.5367966640713198,0.03820943985042282
Lasso Refitting (Full oracle data),0.11298460847802382,0.0847020746801426,0.897,0.3039588787977742,0.46149940371539666,0.025992942725636715
"Proposed framework (MCAR, 1SE)",0.15307043188444647,0.11574933095014055,0.874,0.331849363416596,0.606458318360947,0.04005179377742585
"Proposed framework (MAR, 1SE)",0.1540709551590308,0.11166331922732348,0.887,0.3165927984019852,0.591865390704846,0.04022123312793332
