Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.346990264509564,0.2574406473215095,0.878,0.3272858078194042,1.3473025393079814,0.0805010303824397
"Debiased lasso (Javanmard) (MCAR, IPW)",0.3508069733387956,0.2598870810214306,0.91,0.2861817604250837,1.4597360644846795,0.08552575930162179
"Debiased lasso (Javanmard) (MAR, Observed)",0.3345525336760401,0.24425515149766025,0.89,0.31288975694324034,1.3263160192761534,0.07933326871759448
"Debiased lasso (Javanmard) (MAR, IPW)",0.33857940090882976,0.24763400410574835,0.918,0.2743647207641682,1.4313724887673385,0.08370086912024428
Debiased lasso (Javanmard) (Full oracle data),0.1812245037641598,0.14269233318934182,0.981,0.13652472303579308,1.1503941590516011,0.04435350740712453
"Lasso Refitting (MCAR, Observed)",0.5768217153832722,0.5062280925328488,0.708,0.4546823066713725,1.2409571426060242,0.44086702261866845
"Lasso Refitting (MCAR, IPW)",0.3312107586003874,0.2830315391405208,0.709,0.45422351326191823,0.8498530264215105,0.1451411608192458
"Lasso Refitting (MAR, Observed)",0.5532485134360673,0.4789074662584451,0.697,0.4595552197505757,1.1933646818782537,0.3967055389587796
"Lasso Refitting (MAR, IPW)",0.3365355678745416,0.2825208319496245,0.696,0.4599826083668816,0.8381580942394106,0.14308540428183558
Lasso Refitting (Full oracle data),0.23084809391680414,0.1941536643258909,0.774,0.4182391660282428,0.6661029303421528,0.08168703810434999
"Proposed framework (MCAR, 1SE)",0.47475448524073205,0.33803247376874374,0.925,0.26339134382131846,2.0643945113971296,0.26270813618229466
"Proposed framework (MAR, 1SE)",0.46707598827125996,0.329330156961322,0.914,0.2803640490505157,1.9477214396118694,0.26299339604302735
