m_deb1,asym_se1,sigma_hat1,m_deb2,asym_se2,sigma_hat2
4.520418723043845,0.05569765628322818,8.225799476424616,4.084428507428048,0.0551367557999085,6.385259939738243
4.470210671628345,0.05792276559832024,7.839875900115162,4.222790135053456,0.05580966865511092,6.64500995384208
4.966861607355096,0.05727023780780174,5.914043042746986,4.684898332128924,0.058428685505705645,5.797456667606078
4.220482458410722,0.0597704920354724,6.294509886810794,4.171130408638589,0.05863865024738408,6.12297848193254
4.538071554488075,0.05702204077497301,6.624642266746459,3.9860575452474065,0.054924232773598335,5.77155159552531
4.208455586589285,0.05669355999700356,7.8896668127159035,4.538006497882162,0.05534613735227894,7.147482400117031
4.856895882667986,0.05918238053136891,7.245818931016656,4.351072404962187,0.05866329032198246,7.979121163064634
4.443783759563695,0.05460940434122535,6.614400729724331,4.7039756674423785,0.05310287481392218,6.548085397927607
4.332764478301498,0.05837313975589742,7.755239093762256,4.271821757089677,0.05654251396157749,7.399825257686263
4.77458842187342,0.05535682654362038,7.095766508937699,4.976732941963956,0.053609494542783166,6.390773254884019
4.300301210240942,0.058017811081514395,7.742360104669991,4.381407298031608,0.057210094894916845,6.755843939758633
4.191907279601824,0.05568323868898111,8.70941629426541,4.38918396923209,0.053796410455308946,7.637468091368734
4.2658198010964545,0.055688287780270865,6.494494703033867,4.571406707538528,0.054802135058949965,7.977733338437386
4.0892651995735205,0.057648626241256655,6.873148609685628,4.427076991005862,0.05670835917630227,6.491157066353843
3.862321661027167,0.054913919602577015,7.002543523756698,4.63793905149642,0.05394126389780446,7.863651987426518
4.09088148361425,0.055062866088659054,6.519991998095487,4.750634033902817,0.05416204268578144,6.2553861761407905
4.693476066584523,0.05517373695044778,7.02362089889071,4.49938407315197,0.05408603891537835,7.331087977639178
4.707479220234694,0.059514028989025004,8.776640235952394,4.481635818874119,0.05965030493962707,8.995862700568969
4.076957756143743,0.05702575215817132,7.1184071459807505,4.113655468036425,0.05482690800196599,6.392880045810323
4.204089096045217,0.05503898137226852,7.062545800780971,4.332547356412181,0.05396476786569234,6.4557541790269255
4.159516662108856,0.05732312893860656,6.4817105546056215,4.346919338494547,0.05583818288794186,6.3232779673875354
4.72193146534261,0.054956642130667935,6.335570716565748,4.117668905742008,0.05303698547788593,6.747859158073836
4.935321007159816,0.05581236560029211,7.751225240217556,4.962020857990666,0.05463237141816288,7.655892478136535
4.194696683200051,0.05690822755949045,6.492640361518233,4.363601894210126,0.05798297753417511,6.323770583520121
5.234542826072973,0.05913240350218368,7.325986910836322,4.320041531970696,0.05655787820651525,7.020994243876275
3.895055398865289,0.05793541148286332,6.22993141475813,4.298109837487809,0.05756932414026263,6.448151512324124
4.593608838779417,0.0556248446189705,6.74988395934066,5.027204282478482,0.05591044936571146,7.606226784574092
4.410198345831757,0.05665350668913255,6.524101841320242,4.229524518631019,0.05633945773017855,7.084161356189504
3.9380338498871916,0.056283669243310526,7.388355106277233,4.7097871531447595,0.05549776257240361,7.070535445333534
4.730072216865961,0.058668198270907294,6.994431574803559,4.177824086454467,0.05834129886687976,5.889942336483642
4.5057412508536,0.05867514132095238,6.073672215840788,4.334860281577398,0.057379163842416606,6.9252611126167825
4.004508069939275,0.058580823957888946,7.139758876858734,4.627079437777834,0.05661680000149566,6.7100949527336695
4.9456077751449925,0.059641357621850424,6.176710632514527,4.618154705312522,0.06018750388145845,6.520526761156851
4.5323909978404,0.05503068372570776,8.793607216993745,4.567982974218959,0.05451673953132288,6.588188735091898
4.342448123370088,0.056232350126904584,7.204232976235356,4.345595412116885,0.05426491490878673,7.314764772392735
4.13546343195747,0.056757935094031715,7.114381068495911,3.8061032120102074,0.05619024934079219,7.1881020506298645
3.7491858777120415,0.05842937360791839,7.184988002898799,3.8736302331297563,0.056742051004846236,6.806156056654214
3.929527837754905,0.06037773677336736,7.528754192705886,4.493716844010856,0.05911358875056558,6.964366716835383
4.906840347781284,0.053776830433177054,7.391463882361556,4.45547019783736,0.05381196748732175,6.974862628305354
4.336662358744545,0.05580760967089187,7.450152527830132,4.078921296313421,0.05525289879911728,7.4695434214158505
4.799122413164013,0.05539648861220362,6.621059642112565,4.22580496873528,0.05367643917082255,6.553757756342401
