Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.09935872079883493,0.07530750548309244,0.822,0.38251274488570963,0.339853870589417,0.020896480257902257
"Debiased lasso (Javanmard) (MCAR, IPW)",0.09935313125483586,0.07531413415375567,0.821,0.3833523183704515,0.33986380619590056,0.02091536265429175
"Debiased lasso (Javanmard) (MAR, Observed)",0.09573076380447813,0.07322452182163762,0.829,0.3765089640367145,0.33716552326231747,0.02125132527796034
"Debiased lasso (Javanmard) (MAR, IPW)",0.09683909541402706,0.07372240864218133,0.825,0.3799671038392667,0.33947592581018377,0.02166736497520024
Debiased lasso (Javanmard) (Full oracle data),0.08107282141604338,0.06123226793222771,0.858,0.3490501396647765,0.303812677056923,0.016524797144807524
"Lasso Refitting (MCAR, Observed)",0.10044189174389459,0.07948401564926484,0.936,0.2447529366524537,0.484131796008902,0.02655047974409198
"Lasso Refitting (MCAR, IPW)",0.10158554314517575,0.07952206932240365,0.937,0.24296296014001806,0.481002385950254,0.026672120651928328
"Lasso Refitting (MAR, Observed)",0.10066516896719305,0.07495722984815367,0.945,0.22798026230356,0.4773717754570659,0.025754810946654137
"Lasso Refitting (MAR, IPW)",0.1023511246681325,0.07590839611166843,0.939,0.23933031567271204,0.4746036513476795,0.026074304803434114
Lasso Refitting (Full oracle data),0.08656049255847412,0.06440562114607493,0.938,0.24115555146004825,0.40459679385925373,0.017895698887592282
"Proposed framework (MCAR, 1SE)",0.10324465070064996,0.08159497629168466,0.889,0.31413213780191296,0.430706843475573,0.023199853243067583
"Proposed framework (MAR, 1SE)",0.10217756846987601,0.07679943144952206,0.91,0.2861817604250837,0.42370044320189304,0.02265590675689901
