m_hat1,asym_var1,sigma_hat1,m_hat2,asym_var2,sigma_hat2
2.42219188818319,1.1600877393834128,1.8242005248022635e-06,2.3710171722634676,0.0,2.443419180977211e-06
2.373647054839363,3.051531653682486,1.8987296709239679e-06,2.5619407806637766,0.0,3.5048175992655553e-06
2.6751709786740347,0.0,2.5980129121428053e-06,2.426717091804548,0.0,2.9046512329798905e-06
2.191075071966289,0.0,2.246105398780701e-06,2.2783395342577077,1.1935538300085244,2.130019529316477e-06
2.169850164746898,4.636329671278697,1.954942446888129e-06,2.3915725713287013,0.0,2.1623785877926117e-06
2.3993086098135454,0.0,2.1257086657803666e-06,2.236987131012846,5.899302111972469,2.053894924511616e-06
2.440360105640996,3.62991255094326,2.1071723909493693e-06,2.3329823370623433,0.0,2.22937105337634e-06
2.5163955375258973,0.0,2.1556436341568136e-06,2.3840231397980167,0.0,2.497068508136962e-06
2.2931176752723728,2.099721607297561,1.6543562122529767e-06,2.6258420393369164,0.0,2.3576023407530725e-06
2.530260730177467,0.0,2.605495816689272e-06,2.6403464083299584,2.1183858400851565,2.419424542871435e-06
2.6660868878319506,0.0,1.8111973224491523e-06,2.5114192200987904,0.0,1.9567550973417195e-06
2.4042437586045198,1.0203477973427781,2.612352592388989e-06,2.5578191676248756,1.5717509542504777,2.179065859411691e-06
2.6520130011913134,0.0,2.9715374187703585e-06,2.528750888039388,0.0,3.1490290041363215e-06
2.513327053369887,4.22663437810513,2.6043253325763053e-06,2.1401891893993326,0.0,2.4489193066250446e-06
2.2064314165450662,0.0,3.083870742559804e-06,2.3164113099677874,3.437971531437086,2.3407522592815697e-06
2.3416675345549414,0.0,2.4617326421986603e-06,2.362511340828994,0.0,2.425138291917448e-06
2.092757639609898,0.0,2.1946178188180743e-06,2.3314852932318506,3.994454363596269,3.043101409534361e-06
2.2314544534193157,2.868810343772093,4.051789499128865e-06,2.442441696762699,2.2494983072945547,2.379057522419291e-06
2.309480034986321,0.0,2.884837006531556e-06,2.286481251165015,0.0,2.84675583730465e-06
2.5557290886999438,0.0,1.8385292268848676e-06,2.446745489633897,1.4868048058317567,3.214902591866626e-06
2.703752994993013,0.0,2.197637475313559e-06,2.302620276972622,0.0,1.8924412373735715e-06
2.3914043132652782,0.0,2.39458797601528e-06,2.4196263724895264,3.4063800569025067,2.2190095938616555e-06
2.6411898420934667,0.0,2.597710699796171e-06,2.2707084959441115,2.263546979733668,2.6571193739136714e-06
2.412520686974369,4.659340142906604,2.6607640017434935e-06,2.0739427821970016,0.0,1.9835738712459717e-06
2.380928803541199,3.1420327806230746,2.2485479882850488e-06,2.4035461542102623,0.0,2.1931008035229703e-06
2.129988210075925,0.0,2.201029132410977e-06,2.1784224305837965,0.0,2.7049386443238285e-06
2.5360530116469224,0.825918578574147,1.7237764040192724e-06,2.45432117009683,0.0,2.12093901948295e-06
2.3960434525547027,0.0,2.102412570260679e-06,2.5422868982986064,2.6908997809216135,2.7015998794786276e-06
2.2646652681837827,0.0,2.5756049301076408e-06,2.310397502725398,0.0,3.5385993287817127e-06
2.3807514181171174,0.0,2.582581980887585e-06,2.2040170853768344,3.2064543208042724,2.4241073156516713e-06
2.5622379428426254,0.0,3.2499542446895236e-06,2.601445528689581,6.862017556979932,3.174808589870906e-06
2.5684326488853344,0.0,1.808229712909896e-06,2.4675418542714262,1.2078253722983379,2.0684484084273275e-06
2.5842571352355646,0.0,2.395347243634921e-06,2.4330592617350746,0.0,2.6694910979093553e-06
2.7446757302554263,0.9791151550750347,2.0645680658111113e-06,2.447250759194829,0.7224900015221075,1.912700121328922e-06
2.390609449714745,2.525703786170008,2.605834007531508e-06,2.492698061687386,1.8291058091014405,3.191447951602874e-06
2.3792237752972265,0.0,2.2559055683431455e-06,2.2266384153240333,1.8910076052940414,2.6083135828755873e-06
2.5335301349742294,1.499899057689452,2.2217521919725005e-06,2.5859085440583174,0.0,2.175944306969566e-06
2.6165152205926594,0.880272618798264,2.175817013891521e-06,2.4613329566248154,0.0,2.5926356143135104e-06
2.3723337061224394,0.0,3.462444063887163e-06,2.5489074144477923,7.429409960951759,3.0380420217124206e-06
2.4695644603467883,0.0,2.2074230259150944e-06,2.3501249669066056,1.3580314989472975,2.099130391681067e-06
2.4027831331597587,0.0,2.2337676150918976e-06,2.4919529549501083,0.0,2.2271920005951794e-06
2.4277371633860563,0.0,1.8282066347471187e-06,2.392450528499472,0.0,2.217652201067571e-06
2.4755696596628307,5.409413869895876,1.8567915393736795e-06,2.6272029753636468,1.2758161759649267,2.0644144077960034e-06
2.3104781199491495,2.8772164064140364,2.087032130032904e-06,2.213532251414639,6.7211228345167555,2.8576644691907467e-06
2.395915294437978,0.0,2.2997331879308473e-06,2.386104134958277,3.7367891941315565,2.6778203099137998e-06
2.3326130833798318,0.0,2.52297600985626e-06,2.2492014661691244,0.642452860587223,3.4756920948192023e-06
2.288733065892295,0.0,1.86732936679519e-06,2.2088088852328114,0.0,2.6659419330772644e-06
2.4820959262318967,18.87022840584728,2.088776230651185e-06,2.086230409363984,0.0,2.1833454007457395e-06
2.3808703786632957,9.624663954389794,2.1255923567919854e-06,2.43884921541402,0.0,2.6372623831391258e-06
2.6256276763944095,7.092042347980628,3.0654194147376664e-06,2.4127394085200526,9.80308179617258,2.562287545084039e-06
2.3365955405932044,3.6098901009125726,2.60683392531014e-06,2.6305085890381483,0.9293452317132488,1.5339731243631471e-06
2.0924708469807465,0.0,2.325110742779759e-06,2.3483819524340985,2.9522033381447077,2.733697188222172e-06
2.395412441634987,2.1417312878413552,1.850664997152488e-06,2.28830538163101,0.0,1.752040012405281e-06
2.4301793114995363,0.0,2.3680848537593827e-06,2.4868562315710903,0.0,3.5909378877597273e-06
2.2213308247850634,0.0,2.5610439755010506e-06,2.2348970792196083,0.0,2.054226735995989e-06
2.8244594696781937,3.555769947405357,2.616686630215315e-06,2.529886867562632,1.0431376603974423,2.3660640765772964e-06
2.5341895960928675,0.281973859999603,2.3970604020550724e-06,2.388577280825253,1.4167059849786097,2.112141744585308e-06
2.331230041959875,0.5157953466864688,1.9625170837733064e-06,2.216279059451016,0.0,2.1327675523044615e-06
2.4180117430842527,9912.352491868995,1.9666391441270135e-06,2.2531324900894254,8404.88334517635,2.247670163499145e-06
2.1851803627492714,0.0,1.9332453371118236e-06,2.2533510417651224,0.0,2.1362151790911082e-06
2.356080299475354,0.0,2.191663403975797e-06,2.4361437242686144,0.0,2.4978064182031314e-06
2.138885818881834,4.442086621488891,2.6243548153923244e-06,2.247834353260068,2.6201407480436054,2.261426085173741e-06
2.61380164253937,0.0,2.826527357822674e-06,2.4748402719082616,0.0,2.5358412660915307e-06
2.402015396894497,0.0,1.6936102713699339e-06,2.538078608216751,0.0,1.742309877333989e-06
2.6875470911815817,0.0,2.594420323273083e-06,2.5917783195627146,10.904868963106342,3.6187157402349687e-06
2.8283369154937708,2.343016654963298,2.0913272935441683e-06,2.7089895305791587,0.0,2.2976537148458353e-06
2.772398480769812,0.0,1.5760906082561797e-06,2.5423019486820255,2.2419203503969407,3.552012514763845e-06
2.389478668190088,0.0,2.3695776813360874e-06,2.572455301471848,1.7540296003664766,2.534624258649294e-06
2.1683397462373,3.9191171140652936,3.1560433246902713e-06,2.8551958812650553,0.0,2.8722227509845605e-06
2.1381604655406483,14.994428052792614,3.2604080739714453e-06,2.4075346886377678,7.381393956073045,2.801655016938233e-06
2.5616483812670743,7.6517242675317325,1.717125859806355e-06,2.52800083644769,0.0,2.77430401209554e-06
2.2419040281265663,0.0,1.8727657627344438e-06,2.1334409707505135,3.104807202879982,1.888004588066105e-06
2.160450657577,0.0,2.624859430233375e-06,2.2937992175192727,1.694451151181065,2.5063334561837323e-06
2.3481506587845375,0.0,2.94525450514035e-06,2.4432717324665854,0.0,2.3527908802282077e-06
