Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.11773069645594618,0.09082521588619996,0.986,0.11749042514179611,0.7374763194614163,0.039713225814689605
"Debiased lasso (Javanmard) (MCAR, IPW)",0.11814278860956244,0.0912974947107922,0.989,0.10430244484191156,0.7817695310528368,0.04173311281352814
"Debiased lasso (Javanmard) (MAR, Observed)",0.11894902275827508,0.0892125309354512,0.981,0.13652472303579308,0.7300665932531651,0.039338878467725096
"Debiased lasso (Javanmard) (MAR, IPW)",0.12099050449423486,0.09005050731486156,0.985,0.12155245781143219,0.772065123592827,0.04187790111714873
Debiased lasso (Javanmard) (Full oracle data),0.09122163559457487,0.07003671333685157,0.993,0.08337265738837883,0.6403118537051394,0.027320418714622333
"Lasso Refitting (MCAR, Observed)",0.1380882207095669,0.10422361388270364,0.869,0.3374003556607491,0.5321755718631548,0.04585801211826991
"Lasso Refitting (MCAR, IPW)",0.12772712323982516,0.09690185774847257,0.857,0.3500728495613449,0.4848034626227845,0.037646044177680665
"Lasso Refitting (MAR, Observed)",0.13805500534352969,0.10299376091753286,0.869,0.3374003556607491,0.520452317089644,0.045069392006096116
"Lasso Refitting (MAR, IPW)",0.12927627716906515,0.09428760954275292,0.863,0.3438473498516456,0.47820683854877993,0.03844994411377827
Lasso Refitting (Full oracle data),0.10225934806405287,0.07792191096302604,0.896,0.30526054445342266,0.4127960138455213,0.024990578804910894
"Proposed framework (MCAR, 1SE)",0.13554622417565382,0.10122387181004577,0.878,0.3272858078194042,0.5286866245296272,0.040313369735813294
"Proposed framework (MAR, 1SE)",0.1373084434001162,0.09998835609730547,0.871,0.33519994033412354,0.5161079087250026,0.03978060537406626
