Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.3484122601905121,0.2581954989135192,0.976,0.15304901175767194,1.9031359673710648,0.1079893868531198
"Debiased lasso (Javanmard) (MCAR, IPW)",0.35230928579723886,0.2612237250839096,0.986,0.11749042514179613,2.044301142586822,0.11411649516275449
"Debiased lasso (Javanmard) (MAR, Observed)",0.33863962769775285,0.2544156387288118,0.976,0.15304901175767194,1.871696349539992,0.10829984147606281
"Debiased lasso (Javanmard) (MAR, IPW)",0.34028520069557056,0.2572081594735002,0.985,0.12155245781143219,2.004762819741209,0.11275179467822433
Debiased lasso (Javanmard) (Full oracle data),0.19597254197145728,0.15057141452211112,0.999,0.03160696125855822,1.5805099845111095,0.05350771286822613
"Lasso Refitting (MCAR, Observed)",0.5879077211639734,0.44936005831720177,0.654,0.4756931784249171,1.3645146545550688,0.3069333746202782
"Lasso Refitting (MCAR, IPW)",0.37077967339071793,0.2852948803147808,0.661,0.4733698342733723,0.9008994974545362,0.15404989186842724
"Lasso Refitting (MAR, Observed)",0.5641644825708654,0.44122199484866115,0.635,0.4814301610825811,1.3003582824277224,0.27777990548560305
"Lasso Refitting (MAR, IPW)",0.37656099323311637,0.29742496458917167,0.655,0.47536827828537326,0.8956227364367679,0.15000058208732273
Lasso Refitting (Full oracle data),0.27221981895492264,0.2181367732081029,0.717,0.4504564351854683,0.716635567196364,0.09794192375261417
"Proposed framework (MCAR, 1SE)",0.49229631546287234,0.3561737395742797,0.928,0.2584879107424562,2.211542511647929,0.2913861868762274
"Proposed framework (MAR, 1SE)",0.49079670226946664,0.36307156974347143,0.911,0.2847437444440176,2.083260087552917,0.28717497043675044
