Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.07541643898136773,0.06685092978820034,0.982,0.132951118836962,0.5407130350551036,0.034796755398680504
"Debiased lasso (Javanmard) (MCAR, IPW)",0.07541765962209716,0.0670026632156479,0.984,0.125475097130865,0.5421228082557671,0.034730620081765216
"Debiased lasso (Javanmard) (MAR, Observed)",0.07526347669497031,0.06475013021130327,0.985,0.12155245781143219,0.5368107041143709,0.033181108235390624
"Debiased lasso (Javanmard) (MAR, IPW)",0.07560606998472956,0.06491826990967701,0.985,0.12155245781143219,0.5381239959699717,0.033250984165754366
Debiased lasso (Javanmard) (Full oracle data),0.07460998173236398,0.06015834346077896,0.985,0.12155245781143219,0.48821336835329443,0.02524081682079632
"Lasso Refitting (MCAR, Observed)",0.06320657695831583,0.06297999287116843,0.195,0.3962007067131506,0.12325519077687522,0.2281080064189252
"Lasso Refitting (MCAR, IPW)",0.062380081675035955,0.059371381434867136,0.24,0.4270831300812524,0.13775000512113164,0.2264684387518227
"Lasso Refitting (MAR, Observed)",0.062314283854736204,0.05766238093428697,0.194,0.39542888108988705,0.1158070162334535,0.21726680557189643
"Lasso Refitting (MAR, IPW)",0.06115515707087681,0.05498693460896389,0.225,0.4175823272122517,0.12560602680428096,0.21701816058982548
Lasso Refitting (Full oracle data),0.059177031719031194,0.0516225241682835,0.24,0.4270831300812525,0.1234681079859061,0.19782531532271352
"Proposed framework (MCAR, 1SE)",0.13800970782986477,0.10325959159460019,0.971,0.16780643611018023,0.7690182248850632,0.05333174931870052
"Proposed framework (MAR, 1SE)",0.13503428816364355,0.09839034851874841,0.982,0.132951118836962,0.7504430107923795,0.052391632125477476
