m_obs1,asym_se_obs1,sigma_hat_obs1,ci_len_obs1,m_obs2,asym_se_obs2,sigma_hat_obs2,ci_len_obs2,m_ipw1,asym_se_ipw1,sigma_hat_ipw1,ci_len_ipw1,m_ipw2,asym_se_ipw2,sigma_hat_ipw2,ci_len_ipw2,m_full,asym_se_full,sigma_hat_full,ci_len_full
6.41767910347392,0.0407125788902465,0.946231361381268,1.21439348391145,6.40624286734063,0.0414067019029222,0.908580003033854,1.34885029329098,6.41679917648858,0.0407125788902465,1.14295489352421,1.23020996144791,6.41138514503966,0.0411380505528412,1.0580287002587,1.3820793145978,6.41408249333464,0.0406492157157971,0.96858274800212,0.995098460987555
6.51554711171626,0.0399539080706511,0.900756117834906,1.28288119911466,6.52598815515691,0.0403180320050111,0.934651969196836,1.22093839516297,6.51539296640528,0.039953908070651,1.08305448233417,1.30868316377499,6.52513344996915,0.0402735601783794,1.10980744989431,1.25024529502649,6.53688791127898,0.0399015822865191,0.908729388969345,0.999531459984454
6.56193946240361,0.0409569182916189,0.978039743868909,1.3479946244514,6.49446657596041,0.040046040466673,0.961754566847855,1.30250410108836,6.56205626913778,0.0409569182916189,1.17679916218528,1.37496453833214,6.49562952576624,0.0400606478379577,1.14699320437516,1.3158345843742,6.46168925232845,0.0400681135179538,1.00304285004638,0.986607579820287
6.46356751244857,0.0405560550305992,0.988446660460348,1.37126932184261,6.50376875466215,0.0406040745598088,0.967861544202304,1.41709794297552,6.46353606800143,0.0405560550305991,1.1833691703862,1.40426089797916,6.50180233901001,0.0405997346340062,1.17248397900504,1.44213295475925,6.46001146210462,0.0405556384061789,0.99517934641193,1.03042116711696
6.45271420928853,0.0418182478038481,0.977723416679618,1.26861743793864,6.44476240193309,0.0412366935002878,0.933169849437166,1.25116027295139,6.45092395923565,0.0418182478038481,1.17629771337327,1.29458670403752,6.43829474731907,0.0412684449233428,1.10541937096455,1.26899124266425,6.46708727555349,0.0409011295842284,0.972037202469965,1.005673909997
6.44970636703821,0.0421611235799799,0.932012396337322,1.27909959145034,6.39633481907662,0.0402262040053971,0.995025791974508,1.36249827015175,6.44837058958792,0.04216112357998,1.11506288663542,1.31045800047388,6.40091052757201,0.0402225998630072,1.18723092170798,1.38965622395082,6.42300558769737,0.0410233784323178,0.972929055897722,1.02950235124638
6.39879826821759,0.0416432153518509,0.916239429144558,1.30400634446327,6.41239640684462,0.040227430360232,0.923005574440737,1.27512106491327,6.39787167423872,0.0416432153518509,1.08870229645721,1.34557230271686,6.42935014412376,0.040213484877962,1.08999707015675,1.31767815608341,6.38979701201412,0.0412033017474726,0.958735567478173,1.01181178068275
6.46988881416121,0.0404413405176178,1.01695947999589,1.2597341002049,6.54388434613373,0.0410322048951512,1.05950960354478,1.2864160126637,6.47116663784315,0.0404413405176179,1.21723650287435,1.29305366959114,6.54118752129412,0.0411897353017898,1.24925370957774,1.32884971278534,6.50280501710509,0.0408806989376332,1.01607767022031,0.965838100880046
6.43102418563067,0.0399305321563882,0.956268230538303,1.34507899421787,6.46368110207107,0.0404231561897652,1.00426108771982,1.26530271915518,6.43066520364696,0.0399305321563881,1.14390611716201,1.37543939651355,6.44480935315675,0.0402937726824701,1.18498448292718,1.29831502088491,6.42770128951738,0.0401317955123065,1.03759871005488,1.08364340659307
6.31579592328357,0.0392556034156424,0.990782025448349,1.20339252316222,6.26056198478077,0.0381939560279989,0.974701656501463,1.22100139946128,6.31568419695849,0.0392556034156424,1.1808272564274,1.2437895557433,6.25718656686673,0.038152079427106,1.14145608140545,1.24274321015789,6.33626091043412,0.0391062671662917,0.971824805476556,0.988717795458405
6.457257511528,0.0403963400219385,0.920594783184725,1.27303536261098,6.59435403287514,0.040055733461027,0.985878807702388,1.27928740856975,6.45703100241449,0.0403963400219385,1.10246159877952,1.30402688347108,6.58215596090548,0.0400165924553865,1.16629311179437,1.27884840394953,6.48858877112645,0.0398454983184034,0.962526462024339,0.999937204023724
6.46162279462816,0.0401952589436258,1.0704992635337,1.31793907869868,6.50499085074863,0.0406378527301441,1.0043177509193,1.36144413160963,6.46131732261162,0.0401952589436258,1.28192135393248,1.35343396489521,6.5000461742899,0.0405969696621069,1.19609217730324,1.39824226433016,6.47763178691592,0.040055385042484,1.03782420188582,1.06729533009036
6.42869423999888,0.0409100359754197,1.01377067828243,1.41667072633634,6.4312961051461,0.0412308179642032,1.04521875022804,1.33841940976881,6.42583392511264,0.0409100359754198,1.23112796926148,1.41485978654875,6.41869603027166,0.0410758572495805,1.23427102446866,1.39252857605744,6.40490394620616,0.0411848136555443,1.05908857047061,1.07569704185428
6.56655702463291,0.0410597814144394,1.02721893153627,1.39578389239645,6.56956597259471,0.0408406866210534,1.03097855399707,1.35146564318123,6.56624097967306,0.0410597814144395,1.22402216527586,1.43629734929813,6.55583169170719,0.0407529831218466,1.23194239876256,1.37311645684892,6.50680212309937,0.0409285066191509,1.04447635812119,1.02297770982934
6.56798659573876,0.0413227561269578,0.974258895886588,1.34614069367514,6.51212337175562,0.0412847914709826,1.06089793983952,1.27433472980417,6.56878719079433,0.0413227561269577,1.1671463433595,1.38012428434892,6.51372095247537,0.0413805998977977,1.26998168092128,1.2614337426135,6.46886166391259,0.0413639539160469,1.05768939715456,1.06774778407759
6.53887425211418,0.0408468219852453,1.03015792547998,1.31809969301752,6.57596808727876,0.0414861035007159,1.04112791684944,1.25049414869542,6.53731690807253,0.0408468219852453,1.23309447534189,1.35229796571107,6.58513666314651,0.0415572768986577,1.21238304352142,1.28288342343259,6.56312795914659,0.041977452345452,1.00815971259874,1.00158741102709
6.40146728902586,0.0416097841393294,0.96300098697566,1.27119699220162,6.33476667173859,0.0413152443399707,0.932526911226707,1.27237240569071,6.40047862992549,0.0416097841393294,1.14713317223562,1.3102693889349,6.34748771069925,0.0413646953532435,1.08783687042297,1.29647818277786,6.32355736496407,0.0412539866258552,0.926592525110711,1.00336656123056
6.51252707707266,0.041224037186838,0.987183133393287,1.317571956157,6.52400565955315,0.040666525714621,1.00636551140337,1.26464031765241,6.51120223984486,0.041224037186838,1.18560820645582,1.34173454323978,6.51996471335687,0.040561169178224,1.20144024114623,1.31672420277116,6.50809503935256,0.0411878408723792,1.01629746943847,1.09646892379146
6.40314046450266,0.04044459570253,0.976386704272479,1.35972974247617,6.36644621705798,0.0403008081790871,0.965021256324994,1.29774163152868,6.40251973537864,0.04044459570253,1.1682613864866,1.39144642214107,6.36063915240729,0.0402225803779681,1.16072603004683,1.2971936846812,6.35283657930418,0.040056388346317,0.998992539307479,1.01151323184803
6.50712827432441,0.0419976147070838,1.07415424356421,1.2942866641192,6.59367620663264,0.0416474157228566,0.910689476003621,1.20188377080928,6.50562079116041,0.0419976147070838,1.25902166721333,1.3858631211625,6.5881228202302,0.0417223360600047,1.06384900360085,1.2639683737827,6.5126930934092,0.0409331114709553,0.984837193066592,1.03914350223217
