Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.2089919791640019,0.17847726564907732,0.966,0.18122913673027305,1.3442073953320126,0.09146596362702676
"Debiased lasso (Javanmard) (MCAR, IPW)",0.20978039357110642,0.17814896877387498,0.969,0.1733176274935703,1.3758332894787282,0.09259325466129026
"Debiased lasso (Javanmard) (MAR, Observed)",0.20397445773595652,0.16986940183179833,0.975,0.15612494995995996,1.3249041034281308,0.08868768474120399
"Debiased lasso (Javanmard) (MAR, IPW)",0.2036115250108215,0.1703828605463656,0.975,0.15612494995995996,1.354420499189538,0.08900964836379513
Debiased lasso (Javanmard) (Full oracle data),0.16633254933641406,0.1177290944506457,0.988,0.1088852607105296,1.165029926315924,0.051577673966787245
"Lasso Refitting (MCAR, Observed)",0.27265030007604135,0.23256095841278596,0.166,0.37208063642173045,0.3768855688309085,0.7339209545580254
"Lasso Refitting (MCAR, IPW)",0.2445628690650029,0.1719950968418631,0.278,0.4480133926569607,0.3939591950785188,0.5511465009423122
"Lasso Refitting (MAR, Observed)",0.2770595270506908,0.2445816322400114,0.187,0.38991152842664184,0.39879088743086094,0.7030765548403076
"Lasso Refitting (MAR, IPW)",0.24997680688485838,0.16860247736941752,0.285,0.4514144437210666,0.3924294394484274,0.5275717188053639
Lasso Refitting (Full oracle data),0.22790949134882027,0.14076233771462915,0.307,0.4612493902434994,0.35374958546526203,0.4398361801153679
"Proposed framework (MCAR, 1SE)",0.47167187901540397,0.36882399251404013,0.993,0.08337265738837882,3.2157343870054245,0.4018196665265686
"Proposed framework (MAR, 1SE)",0.4662419166671723,0.36338126969629186,0.986,0.11749042514179613,3.0293764225941713,0.4074180934689692
