Scenario,Avg bias,Std,Coverage Probability,Std,CI length,Std
"Debiased lasso (Javanmard) (MCAR, Observed)",0.08031706132034008,0.06097936702863545,0.924,0.26499811320083017,0.36105931438391586,0.023262998152163716
"Debiased lasso (Javanmard) (MCAR, IPW)",0.08031889017574598,0.060979506051201775,0.948,0.2220270253820467,0.3950001346246072,0.024542639548132635
"Debiased lasso (Javanmard) (MAR, Observed)",0.07757906733317387,0.05959516546030513,0.929,0.2568248430350927,0.3577528590545375,0.023080568284429566
"Debiased lasso (Javanmard) (MAR, IPW)",0.07857747079063361,0.060016440732249,0.951,0.21586801523152982,0.3915585606798232,0.024741139477852368
Debiased lasso (Javanmard) (Full oracle data),0.065449693428717,0.049695592881879025,0.957,0.20285709255532575,0.32849141317217073,0.018915351733700774
"Lasso Refitting (MCAR, Observed)",0.07924077770679315,0.061523154176276296,0.933,0.25002199903208516,0.38239074841760545,0.021012931099750096
"Lasso Refitting (MCAR, IPW)",0.0799673649521597,0.06184897105307594,0.932,0.251745903640953,0.3799157130277359,0.021094084124986992
"Lasso Refitting (MAR, Observed)",0.0793826756814647,0.05832631533894417,0.948,0.22202702538204672,0.37704848473879815,0.02035535503719682
"Lasso Refitting (MAR, IPW)",0.08069419572307253,0.05933636278794106,0.939,0.23933031567271204,0.3748616024701384,0.020556784233814362
Lasso Refitting (Full oracle data),0.06837146913024549,0.05007861288112211,0.941,0.23562470159132295,0.3197735266865027,0.014165798494019962
"Proposed framework (MCAR, 1SE)",0.08229236831147445,0.06323821281253283,0.901,0.298662016332844,0.35053870919639224,0.02085611100434406
"Proposed framework (MAR, 1SE)",0.08132647532370305,0.060443663292002195,0.911,0.28474374444401757,0.34545565394959943,0.020534880873053583
