m_obs1,asym_var_obs1,sigma_hat_obs1,ci_len_obs1,m_obs2,asym_var_obs2,sigma_hat_obs2,ci_len_obs2,m_ipw1,asym_var_ipw1,sigma_hat_ipw1,ci_len_ipw1,m_ipw2,asym_var_ipw2,sigma_hat_ipw2,ci_len_ipw2,m_full,asym_var_full,sigma_hat_full,ci_len_full
0.381163901828589,0.0023419942360555,0.958762308183369,0.181878745453592,0.458076871782662,0.0027171561568351,0.993161925396843,0.202934295247054,0.376966918846001,0.0016393959652389,1.12344423248527,0.178308290640194,0.464464185601996,0.0018605002590588,1.13585857995553,0.192051284856206,0.420931031955622,0.0014533046640488,0.980303878664383,0.146493090531948
0.28489630580857,0.0024691333449772,0.98338335916208,0.191546055863765,0.313095717850543,0.0026674208895297,0.98734067380155,0.199889917592434,0.288745544509828,0.0017283933414841,1.1438793776759,0.186414465251306,0.343092937942816,0.0019140909922178,1.13317291056353,0.194337029542222,0.313507493969242,0.0015568801818171,0.974130779543515,0.150668667629443
0.418918335034185,0.0023966632775456,0.977155061962964,0.187518915912217,0.427519022337829,0.0024348918596112,0.961463829596243,0.185973419364749,0.414515793366059,0.0016776642942819,1.1415523603158,0.183284801621475,0.417187176532095,0.0017776187949658,1.10172011754955,0.182082699382648,0.39439023368411,0.0014578635090525,0.980331174659077,0.146726761792526
0.329684186753428,0.002564417937008,1.02461163533804,0.203391019392437,0.357745318188022,0.0027300779182992,1.01190515430808,0.207255190528055,0.326551779356083,0.0017950925559056,1.20239011202331,0.199694868824798,0.371668787040672,0.0020187142720288,1.17088130058907,0.206218860907872,0.32210190579246,0.0016024830766578,1.01585825628076,0.159407197711263
0.41036733740147,0.0024690458992779,0.977189943184241,0.190336315118614,0.453432140615128,0.0025460277595541,0.9897179776331,0.195758718340009,0.400658023791881,0.0017283321294945,1.1406124364854,0.185878770417877,0.456189719526204,0.0018462416340385,1.11928901899745,0.188523111899792,0.383495404477533,0.0014561244961592,0.973446032684566,0.145609335574729
0.387367074650065,0.0025800729689815,1.0186095402152,0.202815816612992,0.365990751919002,0.0028303341850765,1.02967898299728,0.214733000920551,0.379501525093176,0.001806051078287,1.19066337915951,0.198349950964041,0.400984627179745,0.0019798311330524,1.16358512004004,0.202950590922882,0.343804746133045,0.0016126432895403,1.00931168503034,0.158881212240715
0.37713575921622,0.0024418093197244,0.980682697679383,0.189960136607275,0.375412193126032,0.0025344822014292,0.999511102488439,0.197246966179679,0.375761704129312,0.0017092665238071,1.13727137520557,0.184309231551144,0.379538919004021,0.0018211029295084,1.1281433972529,0.188716398198793,0.365774902887275,0.0015093239833223,0.974620417719818,0.148424238210064
0.308453363768531,0.0023555972859962,1.00061322082953,0.190368394012652,0.34824682356567,0.0023112938340947,1.05216129578955,0.198284145053375,0.306997950945137,0.0016489181001973,1.16401966976241,0.185284013040156,0.33080314405023,0.0016671246268517,1.24189571402063,0.198768357246861,0.333397944680802,0.001372983862107,1.0081325021673,0.146429446112205
0.397180322984528,0.0023608723438171,1.04917704765778,0.199831118951546,0.396796423418253,0.0023452338331377,1.06501095124752,0.202173968334634,0.391641746822601,0.001652610640672,1.21759928444757,0.194029490490042,0.388168824886723,0.0017287575566944,1.20868763804073,0.196996818690027,0.417739708844303,0.0014234526275038,1.03752367091809,0.153443186844939
0.425764826834858,0.0022401176312032,0.936610418171681,0.173769072499056,0.419675818887703,0.0024094530245027,1.00003144300881,0.192420338264887,0.4196803145273,0.0016081742110088,1.09260565712822,0.171754481696624,0.397738331750101,0.0017842864666172,1.14653555454364,0.189844449586014,0.382430588969645,0.0015103122765002,0.962278615554371,0.146592684385824
