m_deb1,asym_se1,sigma_hat1,m_deb2,asym_se2,sigma_hat2
2.226488124226564,0.038127291854685996,1.0043556328102599,2.26722858453408,0.03973576574366132,1.0050297433753974
2.244123923184862,0.03717302613652613,0.986786410933216,2.23197011318989,0.03808205360878849,0.9882663940528639
2.196845703697791,0.039432817512865086,1.0130604814052826,2.1504826346460506,0.04208736404291851,0.9861971725106218
2.3131675907023808,0.039103975512236856,1.0580705236865775,2.3322741713436814,0.0393728457449555,1.0376272712502201
2.27221309629416,0.03970757106341667,1.056804110504256,2.2630230950506074,0.041147973877009955,1.0560517560732738
2.237914313192531,0.039771447795173206,1.0378924768010391,2.2418967368271723,0.0409708458206985,1.0568693704981877
2.214651044283802,0.03905602072729203,1.0328088921102683,2.238848221663868,0.038940825072726025,1.0651904423039529
2.2304881446723437,0.03873820550679402,1.0648670990134246,2.2236597518555903,0.03980261419286678,1.0469535511265806
2.2367076888468644,0.03945733613282204,0.9847609148848918,2.299126243675434,0.03970572232242317,1.0017007804401235
2.3424034867403916,0.0383287322739481,1.062484527977009,2.2974339435751743,0.04017287739913173,1.0979280322988274
2.1489160833218,0.03941495175916092,1.033458051311736,2.1514928139793614,0.03984877700922778,1.0373770972332041
2.353336179067176,0.03849156096707185,1.0618842057107087,2.326902212888287,0.040658868683455016,1.0726485864358533
2.3083179025550082,0.039627614816030804,1.0891361680056322,2.2960909066477617,0.04087668510423195,1.0426706020491543
2.204396781299339,0.045499283144519925,0.9811050363019987,2.2073484035575683,0.047657253070088244,1.0395436529617592
2.2056842533396863,0.039940116177576944,1.0004180734891555,2.2399082066322404,0.04052098974173371,1.0026184019642863
2.2515618715795513,0.03946998995104891,1.0098589489681955,2.207902098189836,0.041428261439431166,1.0461870272280531
2.1983922270907783,0.0386719225197266,1.0076108807691193,2.1728111726488186,0.04027859691618072,1.009092172339724
2.2098586622279117,0.03830662003831607,1.0997363297184772,2.2291236230719784,0.03923420090838296,1.0789575420972393
2.2000845604342865,0.03984021977293572,1.0313634848899271,2.243802921112443,0.040633723890793394,1.0084155352578459
2.2910591029175342,0.038915362927193914,1.0730118551844359,2.2503572678741173,0.04009265202307076,1.0823281760526264
2.2185291498425794,0.03759819625983789,1.0636957694021845,2.2727960313461355,0.03881223738430568,1.0928682900668076
2.181852631308211,0.03794689740598211,1.0460274894084454,2.174063844670418,0.03908755112386373,1.0639682482959587
2.241722936197102,0.04550140871565999,1.0388259126468398,2.277857047024856,0.046195698151114496,1.0273516683534794
2.24616414892225,0.04069795105686894,1.0079552214697232,2.2522768633234374,0.042020499842692856,1.020051219920335
2.2364683708673407,0.04743267627753992,1.049603917143079,2.1846331510444195,0.04903263748522884,1.0382597075647986
2.2530332813845275,0.03732890748364369,1.0111378673911646,2.2266191861867717,0.03907208128098017,1.0175829442735929
2.3582322853127624,0.0396716464487916,1.0584420996539947,2.3709193937320485,0.04025918316067067,1.083040021875706
2.2025421748372738,0.04025042704848622,0.9869643301412668,2.2365316996164566,0.04217356890493062,1.0410852027071362
2.2349115578305634,0.04004976307657063,1.0592097932820022,2.18512520010147,0.0413185318086566,1.0319787678277403
2.257525688534728,0.039689002964593025,1.0849707500679069,2.254420597943102,0.04094610384692096,1.0578320051893377
2.194384581140309,0.04051387194780048,0.9967995066976728,2.2419832483112474,0.04108219216991784,1.037614407211635
2.2776669982392597,0.03797411725549755,1.0358473275723779,2.289715030606662,0.03822786498196283,1.0192808872332924
2.157270206970642,0.037653109215368505,1.0528373834089502,2.204669646913038,0.038669478079672095,1.0676466020176711
2.231970329795763,0.039913150116072715,1.0340832604086891,2.26684917189044,0.04037335283700676,1.012594767079151
2.224597716398799,0.03818499991458283,1.0594284673701384,2.2323692850198102,0.03905950829806787,1.055160605491339
2.2139918687645443,0.04082713542413147,1.0053544524230904,2.2364423568923377,0.04288291397803455,1.0254166316336562
2.2336482291810476,0.03960535461841174,1.0688327970450422,2.244537692549323,0.039742827398430436,1.0668731992566989
2.3625326811089606,0.03775631915146997,1.0097510253515416,2.325571433129616,0.038070872958598276,1.0473003963254168
2.2234606447477345,0.038941114196992935,1.0231446557139068,2.284197840071709,0.04029279718576849,1.0532913791095153
2.2536449660301017,0.03876697962467801,1.0320274205181283,2.261685544763748,0.03913125288470995,1.046124106459264
2.2460043694938494,0.03888951479130092,1.0229174178472538,2.256475013233118,0.04018098609754455,1.0322458802789733
2.2744708069275474,0.03782484531308084,1.0434820155467162,2.2951088715198313,0.03896113961185355,1.0245872169236754
2.268870794247281,0.038885990622505154,1.0865554398466681,2.2682656052928523,0.03946347692384579,1.0715523671335818
2.2882578665302162,0.039001653496549375,1.042824511756326,2.3032648780282416,0.04034806356908366,1.0744389260449347
2.243999163626506,0.03903990393199895,1.0510773667337436,2.2675802784208554,0.04106231987894485,1.0248573337998323
2.184875077845144,0.040088847909379166,1.0193550164237708,2.1891417490672214,0.04043843594522976,1.0325994414433992
2.2631178097184264,0.04700869850201223,1.0343268890577904,2.2077492548444932,0.04901101468160118,1.028183810156168
2.298636347680083,0.038381077660757504,1.0330792439155891,2.324094058430747,0.0389413325163395,1.0338966507070348
2.236833627100464,0.03999064694975668,1.0628403327123175,2.2790446475646746,0.04186794496246944,1.0722914566395163
2.198062499674911,0.0377169624234263,1.0355592743361943,2.1963515986772535,0.03990326826024637,1.0021948862980605
2.3189278733654666,0.03928721038611442,1.000920383635975,2.2923612216531173,0.03984447323532613,1.0172972921552892
2.1898319168014893,0.03905556619164215,0.9850762445111605,2.1710855394503286,0.04018634838553794,1.0125203571381731
2.1734378242899806,0.04052576612105786,1.002381651760812,2.212828468133455,0.041361766201129954,0.9958868704660693
2.182222533073754,0.03939226780456806,1.0649149907367685,2.198210367386642,0.03999649933378812,1.0945063666483688
2.247975319135737,0.03839890157312256,1.008814844968433,2.2728368217330024,0.039168667153572444,1.0187200367645715
2.2459190069480552,0.038898923471354256,1.0246106646558246,2.228293561110209,0.039425525693326295,1.0036417945168494
2.307739022108429,0.03956062496585586,1.0257227925565868,2.2841366531773355,0.04115898690404997,1.0030101280992136
2.2734402311480726,0.039430394097403766,1.0513422401138395,2.2575999096927477,0.04133099522090135,1.0419078695478488
2.224680501338266,0.03852277353578574,1.023530154157649,2.266254849069085,0.03908811906340276,1.0448181372464627
2.3052273757184847,0.03989435137770162,1.0252135682702472,2.2636573135530855,0.041346481036807575,1.058724510161529
2.3210625001571654,0.039882794290297494,1.0454214348210997,2.3173322362802464,0.04022526506787033,1.0429101543861492
2.273617844629661,0.03839221134066932,1.0038854432012145,2.2463476853008477,0.03919760751871292,1.0117322211682587
2.29778447614141,0.04111080485150819,1.0538396552514917,2.2798705972798503,0.0415967956921571,1.045717025652905
2.274604585884987,0.039450143157803604,1.0343994572112891,2.304739899404349,0.040682989634285405,1.0336548242790629
2.246469953878413,0.038657728901007105,1.06290791700984,2.206891474813622,0.03952763154322599,1.0643713017226724
2.2636890864716714,0.03827766573015385,1.0482474670925839,2.2946598061325183,0.039517481758171255,1.0717791539972237
2.2910859439816518,0.0378394696955357,1.0610149407637905,2.3273068829816976,0.039664686858843536,1.0597951832029733
2.310010053308787,0.037934127343315284,1.0478212794463466,2.283224197983268,0.03720981572285704,1.061207832201904
2.2251949768486683,0.038944003587598815,1.0537996952802726,2.1850779043031987,0.03976404009008305,1.078584405893117
2.257021705954823,0.038521907566918485,1.044045801490883,2.2728988039994857,0.0400987069711586,1.036875947849443
2.225391505720235,0.03973681458157018,1.0312281049508745,2.2574532570485815,0.04008005864291545,1.0283156609608477
2.204744984670369,0.039783178193314554,1.037997074634275,2.2630086170983614,0.0402480106949479,1.0582972911299828
2.28187821520099,0.038277891036164254,1.0423462651317061,2.2327483937361072,0.03959024474620646,1.0254791246762232
2.2632693452458246,0.03916284324641659,1.0074826619509005,2.2870682544845087,0.039790898453907604,1.0308180258894326
2.2361886597268095,0.03895804330260181,1.0247012960428283,2.2048787655478974,0.03998743973576121,1.0483739809152106
2.215444967752612,0.03815313071438684,1.0413327061351916,2.2262639478754815,0.04051319504124088,1.0305817789000817
2.2505002370716767,0.03998056879691987,1.0730766115864887,2.25455893473953,0.04103837990786454,1.1117462430065377
2.3219476612846246,0.03869848886212717,1.020778458368917,2.2359155049412864,0.039053929234326566,1.0296574660873277
2.21452159915475,0.03928621167693185,1.0354666978191716,2.2099588872643263,0.03959571009550886,1.0414781689064834
2.21842156677419,0.04115077169732405,1.0455130186704105,2.19947931683707,0.04152037858496002,1.0379955246806285
2.255588993262564,0.03940881425517538,1.0429561911702119,2.27997277849374,0.04016197006586846,1.0171758047316573
2.254195483505057,0.03918600016905836,1.020778947131626,2.2613241042887324,0.0394680507160992,1.0198140778191758
2.232181233631223,0.037909011449785764,1.0699136551892117,2.2920823284619356,0.039438133886146,1.0545094997900222
2.256145781609365,0.03956372964954533,1.0178431238102685,2.2193298052644215,0.04100278897025263,1.0680384794394255
2.2507346394125607,0.03869126594363662,1.0550535919643382,2.179765768155891,0.040981963571401915,1.036706018372814
2.2669302903584665,0.036702518706227684,1.0022645866051993,2.2790246634341176,0.03769651418975887,1.0025326253360969
2.202651530254546,0.040567057034126774,1.0834566426822254,2.217539076152292,0.041635071461810225,1.1311549028622727
2.227456866177135,0.03933142306314587,1.037772517321621,2.177283866249903,0.04021688314992279,1.0623996934187492
2.263198442760764,0.040061341073163136,1.0325144712684156,2.224553156402995,0.04023001559376509,1.0356928859979748
2.283343806811993,0.03955619498889786,1.0186730346262165,2.286241627408066,0.038929329875553864,0.9965373990398956
2.2073845604114424,0.04027073504679679,1.0197898698450938,2.1824970540935458,0.04123571181996792,1.0429952949605856
2.2743331844428885,0.03982025820127935,1.059955340497988,2.267201172254146,0.040911506274371005,1.055272926363516
2.24171797069905,0.04154601707023289,1.0595720625703462,2.3081795700241554,0.04192248791506221,1.0534960824202926
2.2288877813219217,0.038811970218241475,1.027637597821587,2.24398078227774,0.03841143017898705,1.035642364133317
2.2206801209127773,0.04126275289141264,0.9805020646880597,2.266317096060757,0.04134550553544403,0.9953429103824483
2.2169254699071286,0.03672412497304222,1.039940657875407,2.211531918324897,0.037722887654323044,1.0266095529004198
2.355063996972136,0.03895112977288606,1.0107716085542386,2.3402901307508714,0.04012591472987978,1.0200943628926809
2.246259069197682,0.03927351460645241,1.0275769792479688,2.2722169933819027,0.03963456395538223,1.0351705214597933
2.264991730081947,0.039465965204898465,1.0562362270922134,2.26690975470741,0.04011608427478642,1.069630131695305
2.226729160406999,0.04038668675724763,0.9885069814126118,2.243922439230181,0.04099012418114525,1.0162522464537076
2.2826948440924064,0.03811529251187878,1.0614155839899209,2.2835889370772393,0.03886363964460314,1.0409007638431094
2.305868416184524,0.03778083289641286,1.0352410287441645,2.223444169044593,0.0401022839300003,1.0230939841289581
2.1189545690208864,0.03773447732753623,1.0729453392253887,2.085641297695892,0.03920911165584177,1.0697858480196438
2.2283896520399322,0.039654835547514186,0.9920531128799185,2.3073310784326457,0.040691343038656055,1.0041043628388164
2.245965555213568,0.04110600053517281,1.0178475297061536,2.2119999957607464,0.0416690564692679,1.0270968723474996
2.2037345830081563,0.039932768149356306,1.1261801973862962,2.2234547158617377,0.040105284313210615,1.113621641627127
2.2900083683384573,0.038485760312281604,1.049291312297128,2.3241173561138355,0.03931129573487556,1.0064676379714748
