m_deb1,asym_var1,sigma_hat1,m_deb2,asym_var2,sigma_hat2
4.66203486272243,0.035800668017626,1.57009011314557,4.66178197744716,0.0373860707811481,1.64126876938019
4.78043745151855,0.0346180672026448,1.61374988300558,4.81932303309142,0.0350429462324758,1.64351334093283
4.65381946142582,0.0363622682738951,1.61926262990455,4.61455026595687,0.0366968168187491,1.56738403910549
4.52000594918289,0.0354345981044447,1.60962652922228,4.61432333454163,0.0366199178128033,1.71140768011461
4.67601744545101,0.0361576737411439,1.62010058541835,4.67051276464042,0.0378742168331179,1.64582984850018
4.70773221197873,0.0344390690438011,1.6379443595997,4.73183916026579,0.0357154797639865,1.66135844915998
4.6116104810813,0.0364094610663508,1.69004227648628,4.63146182783566,0.0371625363229723,1.70063572357784
4.55644869062886,0.0378894914953714,1.71019782857646,4.53718459322767,0.0392333278012822,1.73261445484553
4.53250085278219,0.0364970992693856,1.69733650629105,4.46084576582255,0.0364942594547585,1.67480239550996
4.62288092063648,0.0350124117835593,1.54010059116556,4.62050905545826,0.0361698897097599,1.58813064275329
4.65431571405894,0.0353734697393505,1.56179589271778,4.64604696677516,0.0363629086424014,1.68309634196879
4.66827864271906,0.0354385302687376,1.61253799427722,4.617203070162,0.0355187176489661,1.5991951903512
4.71623261717439,0.0377489566342236,1.73723978629071,4.6738532009949,0.0373544338475533,1.69593950385597
4.72147826620159,0.0354056457066535,1.73394406521509,4.62846409164666,0.0360660435656579,1.77732061851223
4.48574684549494,0.0367113075429266,1.79139970936572,4.48611324700411,0.0377485027172476,1.740078539832
4.5454639519193,0.0361189889663394,1.63378623238781,4.5209297641239,0.0366328136929916,1.63965023469711
4.74921693178137,0.0355252173175543,1.58103254277791,4.70956029466144,0.0359857407723693,1.60764666317526
4.71485563404531,0.0374063064652853,1.70270832776943,4.76368944498364,0.0371414339444957,1.65491188801957
4.65543853598593,0.0371791524197537,1.70107004776936,4.61028796096393,0.037330504097661,1.69029241084978
4.58981816797071,0.0367294485060208,1.73185247589242,4.64791489161103,0.0375540436751572,1.65416326111657
4.59383109297694,0.0356080622286159,1.62591294714011,4.54443870747739,0.0365183241616565,1.65345680784517
4.6953173462934,0.0375473697567941,1.69192150328167,4.67508689643585,0.0382921737754512,1.70124097188643
4.84966038260892,0.0359402120001174,1.61822193237419,4.83368309858034,0.0356044896633546,1.63870073804521
4.72180306943684,0.0356964709337744,1.66480749217818,4.64971381929734,0.0356155063824465,1.62900566790029
4.59216814804431,0.0357480792357173,1.68453662764324,4.57068046088246,0.0360397482757413,1.68973391296625
4.6496604516322,0.035732398029226,1.59929786822013,4.7101333383045,0.0371900638698134,1.68776726878701
4.60206225748807,0.0360593891405033,1.79549258553391,4.58271525824478,0.0363878825585171,1.79998285709581
4.58644631643516,0.0361463495671422,1.63583372041296,4.55663118549591,0.0378482407744463,1.61669671534415
4.67565704269293,0.0352532893785769,1.61312701036972,4.58765448527765,0.0365024364566414,1.67055814314576
4.59691250160952,0.034837610023583,1.59329340405187,4.64773550729454,0.0347852860949388,1.6052887897645
4.60806536798077,0.0365662812401597,1.68252377117223,4.67053113888166,0.0371246977625104,1.64978013209962
4.776695378216,0.0361106032780268,1.67184640837682,4.70659119025032,0.0369585742017247,1.70979881499763
4.66089422172882,0.0353086013924509,1.65633662388163,4.66703231214191,0.0356402891323786,1.64319094944901
4.74942086641916,0.0376549988523768,1.70753121485242,4.63756036848833,0.0379448994858318,1.75217742993559
4.79845214302269,0.0363665680953959,1.70149959923445,4.81102668701489,0.0356159409663068,1.72287946894687
4.67934320897405,0.0353101246840472,1.5799102145426,4.64667084665618,0.0365118155206059,1.60611238490828
4.53861692356982,0.0358634886542303,1.59256378056231,4.53015405069502,0.0353917217992781,1.62043486576277
4.50929257501081,0.0373404336093559,1.62983710166383,4.56023769023223,0.0368877442652298,1.63911562208764
4.70040467007681,0.0357428806882872,1.54498804367319,4.65952308654047,0.0370205023847488,1.6115223799213
4.65730757294464,0.0373795829564198,1.69690841756465,4.64024647917807,0.0362078786732872,1.63405009727899
4.62655747369946,0.0350564224180754,1.61720146472668,4.56657972697667,0.0369230538769696,1.5710599975261
4.63666137342542,0.0346603370284473,1.6505373587298,4.6471495226717,0.0339528054290115,1.61338800273677
4.71119297639534,0.0363437472794007,1.62023451153819,4.6052993629112,0.0361879862567642,1.71726985585536
4.66043656564116,0.0343253217972678,1.59282142079596,4.64102418731925,0.0349123503961748,1.61843374927945
4.63735210043383,0.0363619587562888,1.71195155670696,4.61282288432839,0.0361641210411962,1.73395381631582
4.60244278832737,0.0353688298095875,1.65732542990129,4.63164403816008,0.0354496343247006,1.65549176342706
4.58989041097176,0.036839458518104,1.59682169517133,4.57556521640319,0.0371595035955222,1.57113029942649
4.76451664450516,0.0348734362008891,1.72955606798064,4.75908930701934,0.0354576849732352,1.68406387953967
4.70132223875872,0.0351231929053457,1.6755453445954,4.55568091862823,0.0374504212539599,1.76969999087156
4.62004619806959,0.03656035941159,1.66171390167894,4.61867733625961,0.0377807216479204,1.71196965680885
4.53060759934606,0.0364970551665179,1.62049496161357,4.45305233221781,0.037787669806895,1.69808262406082
4.65421416030656,0.0343912606580755,1.6347448514033,4.60711411386495,0.0354884760910427,1.74053804379463
4.64387858867378,0.0348372828159668,1.65882395026637,4.68870400309275,0.0354210065865511,1.63854943200078
4.66423161418004,0.0371787946571277,1.74999445109824,4.61549856335109,0.0361297311567517,1.70080872662152
4.68418472566614,0.0359058222473773,1.65147003154156,4.71905961969571,0.0347068264889776,1.6280397645885
4.71230699175963,0.0348443784355392,1.63086627674947,4.77602881592056,0.0358329773945449,1.63515475916246
4.71752665278775,0.0349984135887066,1.61129003128443,4.69384690714803,0.0356181128714998,1.58848240799854
4.57474937932708,0.0369580802957105,1.6448227052196,4.57108435302451,0.0393113399553442,1.6392251349829
4.67996481661598,0.0368566153855243,1.65796613015332,4.75523226357157,0.0390284851732905,1.65214921469385
4.52626719982472,0.035656905489526,1.68379407703261,4.60898797365288,0.0364730191332101,1.72189375573263
4.63372719912976,0.0366095265495829,1.57057085391196,4.66675504411484,0.0378522115729391,1.60986496964195
4.68963330028394,0.0356994962276673,1.51588532718872,4.74440915119577,0.0358457415755946,1.5762663627104
4.71313871270107,0.0354518685533302,1.64681185361437,4.6893037755005,0.0367302106040565,1.68101027131002
4.63760310151576,0.0356821187442724,1.60381317804787,4.59450773084207,0.0360576772595989,1.65654761697867
4.66494214564797,0.0360873056636177,1.67683224775231,4.70455033488726,0.0354731571503222,1.60777294489584
4.55155757867825,0.0354791126954179,1.6757334900378,4.48798192148603,0.0361130759441732,1.71504267437032
4.66679422674499,0.0364741488467125,1.62920279405159,4.65221279510402,0.0357775417691268,1.66094938084536
4.67839575676613,0.0370943931114408,1.56499031558056,4.62837671997376,0.038090237731759,1.55483756014579
4.73886961463679,0.0354188202955304,1.64162404448475,4.80810624327503,0.0367084536656358,1.61073276297036
4.61669146305769,0.035945421920177,1.58569845454866,4.60285975957231,0.0363070377365775,1.67314568146648
4.55611254641815,0.0373212218126829,1.63872531181552,4.60420789418952,0.0384402828487199,1.65551108815615
4.69396944880586,0.0365194833286207,1.60269276880909,4.71631968189678,0.0352094304117958,1.60058566735629
4.64597048114026,0.0363411451211694,1.6537522276363,4.71809529813778,0.0356477750745354,1.60724219836301
4.68150750807168,0.0357752662823636,1.70863318803027,4.65686716577962,0.0361654192009051,1.70869410716763
4.63139945443892,0.0368876226218534,1.60536475945917,4.61481936861573,0.0377087875550594,1.60814150668017
4.62521640581257,0.0374528620662428,1.70086892333956,4.62568197492107,0.036889549852247,1.59932586951882
4.6935618171685,0.0354899125600921,1.65106897325462,4.71699252606461,0.0357719440626163,1.6439797598573
4.58792921294544,0.0352683495913422,1.69545219507488,4.74888969277682,0.0355498431559057,1.69164927505362
4.63606127874222,0.0365701904845986,1.61211908300099,4.73334995699897,0.0377188001237774,1.61823717517615
4.60198372313573,0.0358805451645196,1.64716442225976,4.59542322441803,0.0372198269114438,1.64884696629782
4.67790272355741,0.0353003591690934,1.65671638401613,4.65667015088604,0.0356510494274235,1.66825963207079
4.60518195733395,0.0368341987056734,1.59212562966078,4.65484568520313,0.0369379220182984,1.66672601012312
4.73969115429823,0.0369528402827691,1.59258689952055,4.713283646208,0.0359429886835967,1.6300372557745
4.68379560055608,0.0357730586737719,1.65998342654661,4.72246892855318,0.0367582736211904,1.64949804144515
4.47229013775858,0.0360229877947006,1.60520146391184,4.54004122281876,0.0370444380817916,1.68137976085461
4.69101441560377,0.0359765288911461,1.61535025163175,4.65379840942702,0.0370451198612834,1.62164672438483
4.62727165476044,0.0374085028287788,1.61442186426409,4.57530148770046,0.0385420624711729,1.66522424238575
4.63590312976816,0.0366782465546547,1.60722691832124,4.66364846886379,0.0369920324021286,1.57305036721215
4.78052719142943,0.0365095301336598,1.72701230669804,4.85960152661067,0.0382294761736324,1.73874662932097
4.67655269857704,0.0365633811061157,1.58804874350321,4.60581513973748,0.0359839128429201,1.67048232220055
4.57285652385009,0.0359531542122157,1.65002687825759,4.59384035339815,0.0351993694207669,1.68802559819539
4.69709326696675,0.0359190743259493,1.62340910624984,4.66504230410642,0.0369024749562194,1.65211799235612
4.53863952487424,0.0353012134737106,1.6340820273858,4.58960941786654,0.035872286509492,1.54260155066783
4.62141779919188,0.0340783843422493,1.66062259704545,4.62240183713515,0.0349984138980507,1.67522739748817
4.65576982800801,0.0374318980860957,1.62706995603788,4.59319074597987,0.0375275183160812,1.7119161556964
4.6358895063828,0.0369853967602849,1.66354538541433,4.59161757317963,0.0368662937658191,1.72441581519388
4.69391222935514,0.0366211990154816,1.64600126019611,4.68928791976904,0.0378226070158786,1.66538938661165
4.53887913443856,0.0344087120120818,1.61662878825165,4.57859813541277,0.0358022198781412,1.64777648765325
4.66796048838823,0.0374044888669813,1.63132252910198,4.69945511342608,0.0383275225228768,1.66624113583328
4.5398984276128,0.036779112258048,1.86151158997363,4.54114187733423,0.0366406131690889,1.78252984344358
4.54074101846986,0.0351294952368544,1.70448072527769,4.60260296668691,0.0366518395423532,1.77842757880708
4.59630408945675,0.0347583211002161,1.63674377806697,4.56690090079882,0.0355867700547468,1.66145528727099
4.6448539555532,0.0363622386392643,1.64102876963268,4.63490623488335,0.0358095133818718,1.62807808334506
4.56450806173889,0.034658485483167,1.67328039777475,4.55862218530701,0.0360837661696486,1.63835511585861
4.64025067569219,0.036646444773415,1.68931303980383,4.72233093154896,0.0368996825277048,1.66392032587229
4.72703832715756,0.0360218691862666,1.64595400476091,4.72457672724011,0.0367064203605807,1.58256710893131
4.65021845369399,0.0363453154787645,1.5957283314568,4.64926381370566,0.035744789323072,1.59552653348529
4.71847761574181,0.0365464075634544,1.64962085645548,4.69846536787734,0.037203383901079,1.64777596345909
4.68816866710005,0.0357377077356066,1.65382933930156,4.6909896275167,0.0366066925052248,1.64937387744885
4.58194131917762,0.0355163533659838,1.61670182655475,4.5690856574629,0.0365895337842448,1.6094367398292
4.60589818392175,0.0360151471383247,1.63260465885582,4.68667864597241,0.0357984280886351,1.70027551208966
4.65271544466221,0.0374528967607985,1.63888926147746,4.66670679701398,0.0376918154074656,1.70714613554106
4.74780321832129,0.0368211048748932,1.6776050295383,4.68484398283793,0.0366204835849845,1.65834486794173
4.8026446480834,0.0367692284702429,1.66585335485733,4.69398023529938,0.0359240401467872,1.69165823703014
4.7061804966593,0.0366985567472571,1.62385506149701,4.58694407743972,0.0369853934972127,1.65575077017211
4.60790873051859,0.0366054703938423,1.70916199171406,4.53809662484294,0.0364880067961053,1.75897653838793
4.59231887541336,0.0368390858896039,1.68115145759194,4.59395502704561,0.0371752673252459,1.72264817930741
