m_obs1,asym_var_obs1,sigma_hat_obs1,ci_len_obs1,m_obs2,asym_var_obs2,sigma_hat_obs2,ci_len_obs2,m_ipw1,asym_var_ipw1,sigma_hat_ipw1,ci_len_ipw1,m_ipw2,asym_var_ipw2,sigma_hat_ipw2,ci_len_ipw2,m_full,asym_var_full,sigma_hat_full,ci_len_full
3.91951796913907,0.0016189148372381,1.39271138738249,0.219660119202947,3.90795995207956,0.001553681825328,1.39292625184842,0.215222292372295,3.91838939730678,0.0011332403860667,1.52067634771259,0.200666972962163,3.8935302177358,0.0010488708520092,1.43671412781663,0.182393542060412,3.89456335562638,0.0011277855232417,1.30495307974749,0.171785396291876
3.91702622562766,0.0016943091793033,1.37488676650556,0.221840763050828,3.93593395387767,0.0016592458095045,1.40580080722109,0.2244694486229,3.88851363899902,0.0011860164255123,1.45267387885045,0.19610630909166,3.9073130563086,0.0010929967007713,1.42236018705117,0.184330456978219,3.90609129639672,0.0011335618194391,1.31481774197517,0.173526675815503
3.93811599827381,0.0017889904847762,1.32589361469874,0.219831934228382,4.00478181764635,0.0017671269573407,1.38020852965392,0.227434670385497,3.92127563084292,0.0012522933393434,1.42384866520055,0.197512667536932,3.93681588842564,0.001208700579763,1.43296465626175,0.195286818702991,3.99168813821043,0.0012240748200414,1.27102495064382,0.17431555574046
3.86663160191023,0.001756265211331,1.39784760608443,0.229632293318195,3.84367165116298,0.0016990642667691,1.41779317121346,0.229084586783779,3.85559510622517,0.0012293856479317,1.4622659253068,0.200977998088602,3.82886458435928,0.0012130679121459,1.47899402641894,0.201923592388145,3.87353870628918,0.0012021334134999,1.339978894766,0.182117793179479
3.93961762987629,0.0016517144918553,1.38819078542185,0.22115396677945,3.87627535055265,0.0016420240468514,1.42239373881521,0.225937165013611,3.92832595170574,0.0011562001442987,1.49237762729945,0.198917652845894,3.85219796441222,0.0011442779947398,1.46194926970271,0.193854623022674,3.88059569742497,0.0011104288971445,1.30081209493653,0.169917469050026
3.96261222364301,0.0017043821952099,1.4316454448554,0.231684541044362,3.99613285964329,0.0016057426941733,1.48758255649372,0.233666870018013,3.94468786340212,0.0011930675366469,1.55756403727462,0.210890255127847,3.94887950691139,0.0011194648261966,1.55236106675855,0.203599194295633,3.95187850040772,0.0011291891785529,1.40105738042254,0.184551407886346
3.9831087278728,0.0014833530408378,1.36352303111622,0.205855667272437,3.90100970370432,0.0015718276410411,1.38268481563841,0.214883832470235,3.96403096534784,0.0010383471285864,1.46283486866723,0.184775622301571,3.88802411898271,0.0010943961542871,1.48228551948823,0.192219406421838,3.91615622069524,0.001075554785923,1.27486970145596,0.163892905706651
3.85309176000071,0.0015869560455138,1.30390638641888,0.203613677670347,3.88803641889829,0.0016813736092404,1.3398065352118,0.215353677168563,3.84630153829934,0.0011108692318597,1.39703912397967,0.182523221094313,3.86826191357808,0.0011603080448407,1.39099989904371,0.185734181745893,3.86918324205882,0.001084294070068,1.24291973831483,0.160433372484875
3.78432515714618,0.0016039498042336,1.35654870095934,0.212965308106315,3.8953030424483,0.0017869887385135,1.34680348937969,0.223173809838607,3.77608082358015,0.0011227648629635,1.43003130346239,0.187831331621487,3.872911988274,0.0012079921950665,1.43096116797125,0.194956625606496,3.78287916671293,0.0011610101136164,1.31078110122566,0.175075856337322
3.91611443917664,0.001739068764257,1.51846058147839,0.248221837579965,3.91029526185732,0.0017347618293385,1.47463628142977,0.240759221538141,3.92040734750518,0.0012173481349799,1.62965951520084,0.222885779578449,3.91647199566472,0.001158816966334,1.51985170452732,0.202808766728835,3.90992159099587,0.0011899071323714,1.40102752288167,0.189444188669316
