m_true1,m_hat_lasso1,m_hat_de1,se_m1,ci_lower1,ci_upper1,covered1,ci_length1,m_true2,m_hat_lasso2,m_hat_de2,se_m2,ci_lower2,ci_upper2,covered2,ci_length2
2.45154671892823,2.3431730921042,2.38053623971737,0.0459185429187229,2.29053754937412,2.47053493006063,1.0,0.179997380686507,2.45154671892823,2.24438570051759,2.27785961658111,0.0538704846803202,2.17227540677797,2.38344382638426,0.0,0.211168419606288
2.45154671892823,2.52943160179143,2.56947403923058,0.0539039400232568,2.46382425816019,2.67512382030097,0.0,0.211299562140781,2.45154671892823,2.56715822516995,2.60689152485443,0.0518532178531602,2.50526108537973,2.70852196432914,0.0,0.203260878949407
2.45154671892823,2.31356637812384,2.34331277321507,0.0433637768813369,2.25832133229402,2.42830421413612,0.0,0.169982881842102,2.45154671892823,2.3799435533121,2.40982373530927,0.042582607095703,2.32636335903388,2.49328411158467,1.0,0.166920752550795
2.45154671892823,2.40965440543363,2.4433473961049,0.051222554337617,2.34295303440702,2.54374175780277,1.0,0.200788723395751,2.45154671892823,2.337153913042,2.37454940502497,0.0535359643802405,2.26962084296208,2.47947796708787,1.0,0.209857124125781
2.45154671892823,2.29598703186004,2.32956978821059,0.0463408048980608,2.2387434795958,2.42039609682539,0.0,0.181652617229592,2.45154671892823,2.42957046429934,2.46273491842979,0.0515928230586287,2.36161484337413,2.56385499348545,1.0,0.20224015011132
2.45154671892823,2.51089976776743,2.55322917121293,0.0499408897508243,2.45534682594543,2.65111151648043,0.0,0.195764690535002,2.45154671892823,2.35936841141337,2.40080724846121,0.052289891768986,2.2983209438385,2.50329355308392,1.0,0.20497260924542
2.45154671892823,2.32089948399314,2.35372555150776,0.0469885022840851,2.26162977934348,2.44582132367205,0.0,0.18419154432857,2.45154671892823,2.3592030546879,2.39456490963349,0.0479976333767724,2.30049127687186,2.48863854239512,1.0,0.188147265523263
2.45154671892823,1.99812349922845,2.02805545107004,0.0433108713787982,1.94316770302855,2.11294319911153,0.0,0.169775496082982,2.45154671892823,2.20236847318601,2.23774196747452,0.0478775387933197,2.1439037157712,2.33158021917785,0.0,0.187676503406652
2.45154671892823,2.39202546431862,2.42776202566578,0.0479984965680845,2.33368670108026,2.52183735025129,1.0,0.18815064917103,2.45154671892823,2.24051968422174,2.27189536620514,0.0535691864762084,2.16690169003066,2.37688904237962,0.0,0.209987352348957
2.45154671892823,2.59831144683241,2.6331776711043,0.0424149649894788,2.5500458673194,2.71630947488921,0.0,0.166263607569811,2.45154671892823,2.32699401298746,2.36377122660365,0.0475518996467676,2.27057121589952,2.45697123730778,1.0,0.186400021408255
2.45154671892823,1.95060880446481,1.97945882802342,0.0473022958393752,1.88674803179219,2.07216962425466,0.0,0.185421592462468,2.45154671892823,2.40543586164478,2.43926449703211,0.0479664842753697,2.34525191538738,2.53327707867684,1.0,0.188025163289463
2.45154671892823,2.17767801093982,2.21393961946842,0.0502089602079059,2.11553186575972,2.31234737317712,0.0,0.196815507417401,2.45154671892823,2.3301614524778,2.37067024020704,0.055458588513114,2.26197340408791,2.47936707632617,1.0,0.21739367223826
2.45154671892823,2.46496774062337,2.500091808339,0.0503909051316705,2.40132744913255,2.59885616754544,1.0,0.197528718412897,2.45154671892823,2.45423938876078,2.49082713831919,0.0479437969496238,2.39685902301583,2.58479525362256,1.0,0.187936230606728
2.45154671892823,2.25385581539328,2.29120570747388,0.0420904632886563,2.20870991533551,2.37370149961225,0.0,0.164991584276743,2.45154671892823,2.47467991450555,2.50876757938518,0.0514859877714523,2.40785689764467,2.6096782611257,1.0,0.201821363481033
2.45154671892823,2.17992701500585,2.21122198254991,0.0459521503385556,2.12115742287417,2.30128654222564,0.0,0.180129119351478,2.45154671892823,2.03789900517682,2.07291397253037,0.0469289568566883,1.98093490725923,2.16489303780151,0.0,0.183958130542286
2.45154671892823,2.28972458143447,2.32478915631339,0.0502762515212452,2.22624951405407,2.4233287985727,0.0,0.197079284518636,2.45154671892823,2.00986468206327,2.04683856075325,0.0620278774542901,1.92526615490538,2.16841096660112,0.0,0.243144811695745
2.45154671892823,2.23435843575488,2.26916516384056,0.0453090379974875,2.18036108119132,2.35796924648979,0.0,0.177608165298465,2.45154671892823,2.23406672915875,2.26751436001806,0.0488776394085417,2.17171594712798,2.36331277290814,0.0,0.191596825780155
2.45154671892823,2.64712796730802,2.68487927134786,0.0474155337415316,2.59194653290672,2.77781200978901,0.0,0.185865476882292,2.45154671892823,2.5703862196032,2.60530259827102,0.0603171956074423,2.48708306723198,2.72352212931007,0.0,0.236439062078089
2.45154671892823,2.24363454053913,2.27943273480973,0.0490234283559752,2.18334858083334,2.37551688878612,0.0,0.192168307952782,2.45154671892823,2.04533459764564,2.07800795762239,0.0499101667792599,1.98018582827265,2.17583008697213,0.0,0.195644258699474
2.45154671892823,2.60764490415456,2.65133837393109,0.0487087616229524,2.55587095541856,2.74680579244362,0.0,0.190934837025067,2.45154671892823,2.26938086603581,2.30799824999072,0.0500321482040982,2.20993704144151,2.40605945853992,0.0,0.196122417098405
2.45154671892823,2.34668119356982,2.38416755448817,0.0472601995647531,2.29153926543908,2.47679584353727,1.0,0.185256578098183,2.45154671892823,2.13364566405479,2.16752315249784,0.0552551239019517,2.05922509968871,2.27582120530696,0.0,0.216596105618247
2.45154671892823,2.57062689968828,2.60667729268202,0.0525678279588172,2.50364624313724,2.7097083422268,0.0,0.206062099089559,2.45154671892823,2.21095462995918,2.24314058736055,0.0496240028087708,2.14587932908664,2.34040184563445,0.0,0.194522516547811
2.45154671892823,2.40164592871404,2.43223843113079,0.0405933858816611,2.3526768567922,2.51180000546938,1.0,0.159123148677184,2.45154671892823,2.23605813475322,2.26930611375225,0.0486950204012197,2.17386562753942,2.36474659996508,0.0,0.190880972425667
2.45154671892823,2.36384186073342,2.39834071126849,0.0465520785582067,2.30710031388893,2.48958110864805,1.0,0.182480794759129,2.45154671892823,2.33517654678245,2.36719056587016,0.0487728140294949,2.27159760694768,2.46278352479264,1.0,0.19118591784496
2.45154671892823,2.54768502744079,2.5870335282371,0.0516113851610868,2.48587707212914,2.68818998434505,0.0,0.20231291221591,2.45154671892823,2.4501056652704,2.49220179656137,0.0585106344035852,2.37752306041775,2.60688053270498,1.0,0.229357472287234
2.45154671892823,2.66239881984805,2.69780359710471,0.0432694195190455,2.61299709321543,2.782610100994,0.0,0.169613007778567,2.45154671892823,2.35645306453854,2.38823848631771,0.0444655600212974,2.30108759012356,2.47538938251186,1.0,0.174301792388293
2.45154671892823,2.5246276690771,2.5601078440223,0.0460990603454451,2.46975534602409,2.65046034202051,0.0,0.180704995996422,2.45154671892823,2.41892070156563,2.45976210633214,0.0471889869260534,2.36727339149015,2.55225082117414,1.0,0.184977429683992
2.45154671892823,2.30536216599594,2.33865385885522,0.0426982682055943,2.25496679097002,2.42234092674041,0.0,0.167374135770393,2.45154671892823,2.31723043231921,2.35090824274126,0.0461871607570295,2.26038307110932,2.4414334143732,0.0,0.181050343263879
2.45154671892823,2.7208479810786,2.75942079163464,0.0452967908792614,2.67064071289605,2.84820087037324,0.0,0.177560157477189,2.45154671892823,2.51829501269021,2.55232873909851,0.050636384106197,2.45308324994302,2.65157422825399,0.0,0.198490978310965
2.45154671892823,2.35440836124269,2.38981925913895,0.0437777174321915,2.30401650964648,2.47562200863142,1.0,0.171605498984933,2.45154671892823,2.32479686550462,2.35690367809154,0.0473751042321961,2.2640501800326,2.44975717615047,0.0,0.185706996117871
2.45154671892823,2.7689021727123,2.8075910482376,0.0536182430320852,2.70250122298039,2.9126808734948,0.0,0.210179650514405,2.45154671892823,2.83197434354054,2.86939439283897,0.0522911012116594,2.76690571775218,2.97188306792576,0.0,0.204977350173582
2.45154671892823,2.37085390258719,2.40361150762118,0.0500139349236944,2.30558599644561,2.50163701879675,1.0,0.196051022351142,2.45154671892823,2.40722470503721,2.43909988490494,0.0491273263369308,2.34281209462781,2.53538767518207,1.0,0.19257558055426
2.45154671892823,2.35490001214055,2.3933830943835,0.0472788048726912,2.30071833960093,2.48604784916607,1.0,0.185329509565143,2.45154671892823,2.26608538951346,2.30173360198601,0.0496285111751282,2.20446350747641,2.3990036964956,0.0,0.19454018901919
2.45154671892823,2.1536437045374,2.18186453187819,0.0447178403444303,2.09421917533669,2.26950988841969,0.0,0.175290713082991,2.45154671892823,2.4239978406902,2.45621444032611,0.0458954016552859,2.36626110602574,2.54616777462647,1.0,0.17990666860072
2.45154671892823,2.06613465431701,2.09846880834293,0.0491461961884595,2.0021440338364,2.19479358284945,0.0,0.192649549013041,2.45154671892823,2.34806877024425,2.38508734561493,0.051023107241951,2.28508389304138,2.48509079818848,1.0,0.200006905147098
2.45154671892823,2.31620488865371,2.34885245606329,0.0422584292099775,2.26602745676849,2.43167745535808,0.0,0.165649998589583,2.45154671892823,2.04325786501792,2.06862617035068,0.0481494435381878,1.97425499514018,2.16299734556117,0.0,0.188742350420986
2.45154671892823,2.16720542535782,2.19903359964794,0.0472029504610355,2.10651751678029,2.2915496825156,0.0,0.185032165735316,2.45154671892823,2.21131032173006,2.23898388447353,0.0441488028678974,2.15245382089189,2.32551394805516,0.0,0.173060127163275
2.45154671892823,2.43495162145849,2.4717458814333,0.0433298007570778,2.38682103249213,2.55667073037446,1.0,0.169849697882338,2.45154671892823,2.18701347168166,2.2208538642586,0.0484895970095607,2.125816000495,2.3158917280222,0.0,0.1900757275272
2.45154671892823,2.10131042587758,2.1384614875081,0.0462694591618373,2.04777501396675,2.22914796104944,0.0,0.181372947082695,2.45154671892823,2.46071492109516,2.49722772340504,0.0449209192489639,2.40918433952464,2.58527110728544,1.0,0.176086767760802
2.45154671892823,2.21171287084907,2.23961737736133,0.0422991535678795,2.15671255979176,2.32252219493091,0.0,0.165809635139145,2.45154671892823,2.41596817344697,2.45009084190772,0.0571548310566649,2.33806943149418,2.56211225232125,1.0,0.224042820827069
2.45154671892823,2.35341146107083,2.39149657361388,0.0545275222063452,2.28462459392323,2.49836855330452,1.0,0.213743959381289,2.45154671892823,2.34605341900943,2.38296123745339,0.0561305224446323,2.2729474350285,2.49297503987829,1.0,0.220027604849793
2.45154671892823,2.24592817078969,2.28216158057406,0.04751870989925,2.18902662057973,2.3752965405684,0.0,0.186269919988674,2.45154671892823,2.23903300404685,2.27484818785319,0.0494749358059066,2.17787909553618,2.3718172801702,0.0,0.193938184634017
2.45154671892823,2.43650930040257,2.4744944100699,0.0477177122830087,2.38096941257056,2.56801940756924,1.0,0.187049994998683,2.45154671892823,2.53388620091108,2.57117517036927,0.0456285736633767,2.48174480932311,2.66060553141542,0.0,0.178860722092303
2.45154671892823,2.07781548352723,2.10977418642606,0.0446163092632349,2.02232782714702,2.1972205457051,0.0,0.174892718558082,2.45154671892823,2.25879083844055,2.29141902585381,0.0544880003209164,2.18462450763521,2.39821354407242,0.0,0.213589036437206
2.45154671892823,2.5289540031484,2.56421480097561,0.0470088775095868,2.47207909410316,2.65635050784805,0.0,0.184271413744891,2.45154671892823,2.38909785653012,2.42416130122606,0.0553650836840761,2.31564773120422,2.53267487124789,1.0,0.217027140043671
2.45154671892823,2.37445397022669,2.41081800290383,0.0510498759963102,2.31076208453583,2.51087392127184,1.0,0.200111836736007,2.45154671892823,2.54590549759335,2.59279440895032,0.054879774364121,2.48523202771696,2.70035679018368,0.0,0.215124762466723
2.45154671892823,2.32521283339744,2.35927787398681,0.0523313567302528,2.2567102995334,2.46184544844023,1.0,0.205135148906827,2.45154671892823,2.29804058642433,2.32953186142658,0.0508083602921514,2.22994930514042,2.42911441771273,0.0,0.199165112572303
2.45154671892823,2.21009488406354,2.24755221945838,0.0460699871699515,2.15725670383705,2.3378477350797,0.0,0.180591031242654,2.45154671892823,2.55176238523083,2.59194410170565,0.0515040418117631,2.49099803469635,2.69289016871495,0.0,0.201892134018602
2.45154671892823,2.24030738663352,2.27377010701431,0.0469872386474481,2.18167681153232,2.3658634024963,0.0,0.184186590963973,2.45154671892823,2.12025661195004,2.1554798984944,0.0457314853337915,2.06584783428065,2.24511196270816,0.0,0.179264128427506
