m_deb1,asym_var1,sigma_hat1,m_deb2,asym_var2,sigma_hat2
5.08075262157409,0.0400172843148612,0.987902921896747,5.10558414910502,0.0418389702915909,1.01760321051368
5.1324286526211,0.04096262990516,1.00142690241951,5.1259141496175,0.0389593189884441,0.968106325719844
5.11212548631779,0.0405895059426747,1.00844951150448,5.07191978031702,0.0410453792024044,0.991931509676579
5.05663276452269,0.0428230972882812,1.0415184931419,5.04069518529353,0.0411472393755435,1.03649198878391
5.09477997495505,0.0404188253266513,0.995050285621085,5.04056079127293,0.0420803990079923,1.00734849096262
5.1325518648191,0.0425787948267749,1.03600527744295,5.16671209276375,0.041205269623736,1.07678120655812
5.05049841209495,0.0406100431749187,1.01870880682561,5.04308014097587,0.0413758821411922,1.0214549811229
5.07156824903678,0.0428741532721737,1.04676055139676,5.02840296638046,0.0445126900380863,1.04264978112479
5.0468713846322,0.0409919769442095,1.07906034554412,5.04344534670855,0.0409803804503697,1.04958095192414
5.08449552096606,0.0424116897232582,0.962583647633143,5.05259633069034,0.040755842733552,0.992730017066638
5.05412806464966,0.0430066656954131,1.01686700130036,5.02529666194336,0.0410391985613724,1.05633428721546
5.10496301522819,0.041399623954604,1.07567198787719,5.04933941287453,0.0386923843012406,1.05512986302721
5.10340235668359,0.0419109052920279,1.0493581792543,5.12259178536162,0.0415322535212545,1.05886685834165
5.1289745914411,0.039593258759298,1.08458354086419,5.09090077637833,0.0402606106554495,1.08441788474612
4.93625692866577,0.041385973541786,1.03717219213984,4.95307297838027,0.0425449817051072,1.06217886428691
5.05010655537402,0.0404853128191551,1.07385079221014,5.04121733729733,0.0410433758780434,1.06502714858653
5.14527625882759,0.0426109231939541,1.01487549285347,5.04438201182281,0.0402448438071384,1.00968390532949
5.07322941605988,0.041537471135937,1.0354796099941,5.06548984240205,0.0412012266184891,1.02760540322635
4.99356457932989,0.0418780342137357,1.06155591726508,5.04445136425381,0.0419131843069224,1.06692088772151
4.97692153204287,0.0411546102584002,1.08553101242968,5.01682721799348,0.0422645031683373,1.04203884645377
5.08231661464039,0.0405695688115649,1.04811235592843,5.01522735579081,0.043489224525188,1.07436313657774
5.04128407869222,0.0414232754463231,1.07359497239432,5.0456274826607,0.0421343624058517,1.08656133235029
5.13824011470634,0.0422248638916297,1.04045942649371,5.13263628748915,0.0392882279478273,1.03250233769991
5.07032161749756,0.0419486172227579,1.06117686935032,5.07504303473892,0.0437492221206821,1.02018764515461
5.01041510186923,0.0403045166146967,1.05636192787178,5.00210935561957,0.0406328588483852,1.03698128748952
5.12491432437388,0.0432262081064585,1.06833805283521,5.12302544925778,0.0420249713860668,1.06613007956953
5.01688684182421,0.0403253484872658,1.05467253301546,5.04730510838831,0.0407140085912349,1.03531811677537
5.03129967241873,0.0402875041623323,1.01475869709073,5.03990746861841,0.0420073098103196,1.00888006884196
5.14522621814725,0.0438150989637261,1.05455475516178,5.12583045970938,0.0415213175341374,1.05295613494817
5.09114212587754,0.0418905393410059,1.02060999614329,5.09504494064191,0.0388500136043512,1.03367583490073
