m_deb2,asym_se2,sigma_hat2,mae_prop
1.759646940557734,0.032546348411352725,5.605169667535246,0.0
1.9050865057512527,0.033203744869690674,5.269954705588467,0.0
1.7704966286904127,0.033170905929020285,5.578078780264868,0.0
1.8212014395239926,0.03307198797784994,5.406355524146666,0.0
1.7524178185120198,0.033951055936024876,5.594386251892698,0.0
2.0273786629541988,0.03358736573728957,5.393379167317683,0.0
1.9878536766578228,0.03217158001922992,5.419398034491645,0.0
1.6064764461815924,0.032434933072602,5.4139094288802685,0.0
1.6820785427642773,0.03288578579521098,5.427802587565132,0.0
1.7810294923637304,0.033133113881533234,5.27000552248941,0.0
1.771610122655379,0.03258584965391166,5.400791657360698,0.0
1.8786259932986065,0.033128792142798034,5.38397495808734,0.0
1.7852047410562846,0.03334185644428997,5.374591475971978,0.0
2.0951160159967874,0.031197529789223327,5.410088197430706,0.0
2.1903521552518668,0.03183124665842298,5.620515716455763,0.0
2.279018815310946,0.03302507079285888,5.525304568082154,0.0
2.038815195792786,0.03444358450837963,5.559777706606024,0.0
1.8417148079629637,0.03390098867049836,5.347670194378846,0.0
2.051118090982329,0.032425882709659175,5.50035597278754,0.0
1.892207682597156,0.03212051639195996,5.524710393239472,0.0
2.023543815244793,0.03147256310800152,5.579470558410613,0.0
1.9143025677216166,0.03163356735641681,5.494094939893239,0.0
1.7468943502919159,0.033566548834626425,5.2092501740820545,0.0
1.6155343962856583,0.032610706896218,5.557702787969045,0.0
2.1467648934194576,0.03301867246686639,5.704620280763914,0.0
2.028865247900206,0.03340868306382659,5.31746599138457,0.0
2.0520423635961276,0.033177937330749904,5.383441401440625,0.0
1.670103318549356,0.03300077774847672,5.58256094429284,0.0
1.8371297358386298,0.03359918935623896,5.405864081061326,0.0
1.8185346510773122,0.03259988676123038,5.7181107749862425,0.0
2.1934786919963107,0.03360594664590139,5.817394314844718,0.0
1.7088325346415574,0.03273502667940379,5.418636340084918,0.0
1.7468740535612786,0.03169001283408365,5.422917380462132,0.0
1.9611881859735025,0.03392667326776189,5.377326855723526,0.0
1.8651517437220861,0.032313905091967986,5.32792337518111,0.0
1.7957034015356959,0.034139369104281926,5.261842751537482,0.0
1.8392658898258154,0.0325132243253971,5.65382804247097,0.0
1.7789201562451311,0.03420610581599734,5.460074877749169,0.0
2.052837365401734,0.033276636541368,5.393566726871179,0.0
1.9414392718940965,0.033444418273770975,5.600000060064761,0.0
1.7615869920162395,0.033892210122025375,5.641075241185354,0.0
1.9300287306659003,0.03127467125709886,5.500348292962818,0.0
1.8051373403762185,0.03192686696900362,5.627421276193336,0.0
2.301584803756427,0.033504657241165685,5.389355745142771,0.0
1.9075289692031925,0.033124194154626314,5.343689392418088,0.0
2.1832704832377443,0.03348815494941097,5.5162638055593565,0.0
2.079180432363867,0.032621344724731015,5.43330168891405,0.0
1.9911144157341791,0.03221846932598628,5.208190711227274,0.0
1.7287111171405096,0.03361820932602656,5.486861626767775,0.0
1.5318091792651933,0.032637749874310854,5.17253895531624,0.0
1.838154052778443,0.032929607145391344,5.395583039277375,0.0
1.8333924931676948,0.031511385108121084,5.341204369440474,0.0
1.6893990582514,0.033794045024020766,5.654231153845574,0.0
1.8318755400856452,0.03347526392033829,5.505643120751484,0.0
2.0304508503257073,0.032516490530648076,5.36418899673656,0.0
1.411988486582888,0.03303852968339819,5.307362832819357,0.0
1.981305083468852,0.03326078248158793,5.59044851150279,0.0
1.8401867224499577,0.03375321145316938,5.508981441782909,0.0
1.9109446716099634,0.03181347087827177,5.439307201028453,0.0
2.3038721594143596,0.03325291342708291,5.62528315137442,0.0
1.9678831498501959,0.03392304214432402,5.730419291370463,0.0
2.4679458024169634,0.03359229597126754,5.4828549823315065,0.0
1.9320581537662067,0.03411702655861735,5.399945573416356,0.0
2.2975319483375176,0.033105893418996446,5.684658800432007,0.0
2.008968805388249,0.03256217061442144,5.837124872599532,0.0
1.8150363070449465,0.03257615319216959,5.4854244738349776,0.0
1.8366195760725543,0.03240809325159112,5.401416498720067,0.0
2.1221614884444704,0.03213894621621219,5.467574232115127,0.0
1.650802933681385,0.03554377338766439,5.5115373028419254,0.0
1.9947966818457075,0.03159684398993565,5.414527738946529,0.0
2.336747122320961,0.034981764637472365,5.444837017966612,0.0
2.359191003169958,0.03367212502328168,5.58548606127568,0.0
1.840982078625395,0.034838555497293575,5.386358967967559,0.0
2.0019212970837783,0.03290420332299723,5.505840759369889,0.0
2.0612911917085617,0.03340807806578698,5.619077469135686,0.0
1.859941437927052,0.03382050380799383,5.4666275120661965,0.0
1.9603049073317822,0.03490052417810659,5.718977037774153,0.0
1.7502303135933988,0.03156262340433842,5.2207774717003375,0.0
2.0108709041382045,0.032519334418838156,5.458683594645967,0.0
1.7117276541168231,0.03382854912209424,5.377603341288192,0.0
2.097709774865355,0.03291614411629145,5.473863510070336,0.0
2.2899098554644555,0.0322134015643854,5.217632804452908,0.0
2.09067154687179,0.032056190861910645,5.626058536578098,0.0
1.9827079826317164,0.03350178458143723,5.87625362909133,0.0
1.8077284517724328,0.03171368884891606,5.399898770253967,0.0
1.992966818192555,0.031423576064840766,5.351158187794259,0.0
2.5821993707910105,0.03433400284346661,5.65135732913052,0.0
1.909325948817818,0.03276727985798065,5.402622962451358,0.0
1.7466355441345645,0.03251635311175679,5.632187007643424,0.0
2.1251640016962163,0.033589255591764657,5.7938005247209,0.0
1.7703977987274842,0.034361387772938984,5.64134221608158,0.0
2.2885320886851686,0.032938103873624926,5.544364331764806,0.0
2.5447283359876973,0.03532689486635905,5.377816660000181,0.0
1.7097223915798085,0.032630531844226304,5.370536518053108,0.0
1.6801562694694165,0.03389521818160006,5.442177865060257,0.0
1.7469961787233503,0.030781650695717266,5.446063719963162,0.0
2.170419207819771,0.033507454254157416,5.476428967697774,0.0
2.152313179583132,0.033537061128899655,5.803068357697697,0.0
2.191347373502408,0.03229353049797045,5.264964274372463,0.0
1.951676946339211,0.03419502393255584,5.517330942895172,0.0
1.8242451493044776,0.032270393303313855,5.4968143042549755,0.0
2.002008482906848,0.03224783878506686,5.345186830908096,0.0
2.120879165738026,0.03301957920634994,5.525654142950962,0.0
2.046053038085219,0.034117719669395405,5.65638223175208,0.0
1.7376090480597046,0.033202066069344144,5.83502521517756,0.0
1.9744261124057307,0.03173285210767506,5.203382969678076,0.0
1.7510919738482131,0.03311416545205273,5.491365811268444,0.0
2.245874901153404,0.03203886191184701,5.4756290137484465,0.0
2.0678791543340056,0.03328679755777757,5.386848715673703,0.0
1.6273088527363635,0.03349150435760921,5.462044863250765,0.0
2.169897064128392,0.03194178442660245,5.720913383590334,0.0
1.946325408148422,0.03191704524814382,5.531021990236544,0.0
2.0023088932820805,0.033374339563085026,5.458453459952863,0.0
1.7189285208189045,0.03238783623044061,5.6426951875658276,0.0
1.819105607746951,0.031923181155090324,5.602471353332767,0.0
1.8899740516637449,0.03440942568136645,5.450647556189441,0.0
2.0233947031454758,0.033260929117443924,5.537126700155272,0.0
1.455662641969285,0.0339265077712904,5.516112530930132,0.0
2.0693201967216956,0.03474579457377417,5.398597154920054,0.0
