m_obs1,sigma_hat_obs1,m_obs2,sigma_hat_obs2,m_ipw1,sigma_hat_ipw1,m_ipw2,sigma_hat_ipw2,m_full,sigma_hat_full,m_var_oracle,m_var_mcar
1.4936773065080358,5.653087448235403,1.268230790975461,5.747158062616293,1.6711158253038398,6.159453249642794,1.6092893894791698,5.634458937189663,1.654489103930779,5.38748140661911,1.2006031132180413,1.715147304597202
1.6509436946689573,5.521429470143707,1.5798723302776367,5.726535735050994,1.8551981106176516,5.919166442407087,1.7957007850151103,6.2927078036631805,1.9224345924058643,5.21506802600062,1.2006031132180413,1.715147304597202
1.5149563332767642,5.851978134237687,1.3284423976580515,5.658624607141356,1.7560301122718869,6.350642601306412,1.4202864682566825,6.087080769105509,1.5612127797515487,5.503873163188031,1.2006031132180413,1.715147304597202
1.5201766556357323,5.465772876699118,1.407236804589204,5.558554911608838,1.7358784388169075,5.839736079426556,1.7964710529922114,5.905801822030831,1.686552696197293,5.287571526372108,1.2006031132180413,1.715147304597202
1.4656579082274463,5.660446250164012,1.4527996326812087,5.78245649685439,1.666583416684489,6.204539401507813,1.6384699474791131,6.071132670062747,1.4256639508522615,5.377145321135727,1.2006031132180413,1.715147304597202
1.57796757632888,5.666181876234732,1.726609905160486,5.709544612492599,1.8111791862783424,6.114783826191002,1.839543897837152,5.755427184843566,1.7145949013378246,5.355486368892597,1.2006031132180413,1.715147304597202
1.3466390363285152,5.539924287066347,1.6301773907364452,5.419493214069559,1.5842662601196262,6.019170509787333,1.7800337338164347,5.741528790411754,1.8778551941470605,5.201189534250752,1.2006031132180413,1.715147304597202
1.5423122841775796,5.436302407991512,1.4182998102566808,5.5382331815913135,1.728083160392713,5.901563197108809,1.7414882360820505,5.83795493674563,1.5194015441154942,5.303230888447644,1.2006031132180413,1.715147304597202
1.015720357657741,5.656445947383594,1.227400328208729,5.457045478833096,1.2576096640147036,6.191948267747397,1.2016618669957972,5.962292548622346,1.3561731256146337,5.300938095212819,1.2006031132180413,1.715147304597202
1.267697704563678,5.473826589935992,1.1851369241696932,5.584303295023753,1.4770532222143762,6.051345155180478,1.3672538672293355,5.979244111023855,1.561434075054892,5.187029108504442,1.2006031132180413,1.715147304597202
1.8736305587600723,5.51470955127408,1.728208914473346,5.467428048890195,2.015747313801916,6.100353126822557,1.9967557432018328,5.853901291651324,2.115542135861382,5.172848004191865,1.2006031132180413,1.715147304597202
1.5644694030477997,5.639129729886302,1.432945455410577,5.492110187448067,1.7263173223529222,6.266987185682459,1.604146891950608,5.8228768747370685,1.7393491881759822,5.238112735786307,1.2006031132180413,1.715147304597202
1.7032292961653803,5.562178262051416,1.6128218637324696,5.955560712502495,1.8103495694661291,6.07104254817478,1.8591489683991536,6.197165437201833,1.8799107118248688,5.3356532574983415,1.2006031132180413,1.715147304597202
1.792893947136171,5.473877140158289,1.4956522400692975,5.525721879958686,1.967438523239586,5.882624524170475,1.614561230102432,5.8476331582275725,1.7550202014336165,5.278138414273985,1.2006031132180413,1.715147304597202
1.439770172554781,5.494241614653667,1.1860837218000606,5.803459845029784,1.6093975226483943,6.126585372252917,1.378438346826846,6.282825826496635,1.5379162602797047,5.485786102021973,1.2006031132180413,1.715147304597202
1.322411348506877,5.556753390910759,1.3794592070150131,5.694390934760414,1.5389794976700204,6.050815766157285,1.3949448564892175,6.218671423047388,1.5098230370863133,5.375050456328104,1.2006031132180413,1.715147304597202
1.4175328441440591,5.7566026640779455,1.4918060293165256,5.574306883728521,1.6238546461776084,6.197456601274629,1.7861397965198031,5.785582107071904,1.6921819511884555,5.314641081893872,1.2006031132180413,1.715147304597202
1.7574784237749987,5.581472151102677,1.4572565211511803,5.6131637897636,1.9646470046858944,5.865846898701965,1.680124186540167,5.848849322014922,1.7501356523104177,5.261854930010058,1.2006031132180413,1.715147304597202
1.5820227441662564,5.592294828461798,1.4557089893178874,5.725157392662802,1.7709890739937273,6.110969381884123,1.6940780171002685,6.022515428938447,1.694286716602902,5.319997747954537,1.2006031132180413,1.715147304597202
1.4546190339293583,5.653275397339457,1.7163832976254991,5.710918137138956,1.6433505911205273,6.129053520481161,1.7129236709770808,6.134106758250723,1.6147045988773423,5.444418070706832,1.2006031132180413,1.715147304597202
1.5291605776933286,5.60949755732096,1.5042249095200106,5.825478245898116,1.7427999285205211,6.217383104468416,1.8044337011847844,5.968173428964342,1.746032968239185,5.464149399241338,1.2006031132180413,1.715147304597202
1.946206189839772,5.53549880126973,1.7308870516531991,5.789173140114797,2.101729627668484,6.032329682110117,2.187509514886295,5.903591200652969,1.9151928949573271,5.346925613117976,1.2006031132180413,1.715147304597202
1.2377662434528778,5.488686444845071,1.6948687091789767,5.525934507931881,1.456911529829142,5.9129858455439415,1.8587686547068485,5.761301404242582,1.7216071024369697,5.100509345465689,1.2006031132180413,1.715147304597202
1.5631112016522786,5.608213709443051,1.585072631899039,5.629004773768022,1.735428468387762,6.106833099023556,1.9704953641715035,5.940793744442042,1.74371726865352,5.419673111792422,1.2006031132180413,1.715147304597202
1.6592475413721703,5.732365948720805,1.6119724327298637,5.532964639331008,1.8134640781174896,6.391510594613263,1.9201860987059225,5.956708318433794,1.7846839011570148,5.395257427528128,1.2006031132180413,1.715147304597202
1.390720080503731,5.4561680159580765,1.5384090166103257,5.465494726719612,1.5825246386718883,5.9424664254177575,1.7306507617147058,5.881693596468434,1.5722498609887383,5.26573599267602,1.2006031132180413,1.715147304597202
1.115168067336373,5.600949250885455,1.2732721628476444,5.655084373640297,1.3019599468090832,6.1850800956709655,1.5419583329290836,6.081108075840731,1.3732233881109193,5.218449672435519,1.2006031132180413,1.715147304597202
1.623220502042156,5.597240966641689,1.447534888784089,5.418067384535972,1.826808580476585,5.9745046107962425,1.7957839821896573,5.590315227936789,1.598528391201638,5.306436831306884,1.2006031132180413,1.715147304597202
1.5104244152424524,5.625144808777471,1.7768471511404194,5.615757328872556,1.7316888782229307,5.992845966291116,1.9028157641627257,5.695258013236942,1.8639745736772184,5.358421220826718,1.2006031132180413,1.715147304597202
1.412681762744806,5.628732361466419,1.469794647428177,5.65367264719828,1.6172895638638216,6.112309873682363,1.725386176345765,5.92968333979634,1.6605072900639213,5.295640351911126,1.2006031132180413,1.715147304597202
1.1628325714838184,5.97204085181071,1.0211259615515786,5.85371609134171,1.4661770568117238,6.323194842057814,1.3907807471185771,6.014975736581071,1.4697315097324686,5.418378165170365,1.2006031132180413,1.715147304597202
1.3481554036253265,5.707025090206427,1.451431889572796,5.601535622344714,1.5472193052157786,5.979843131487295,1.578186682562547,5.7011718691731375,1.6335594348433709,5.271310144832244,1.2006031132180413,1.715147304597202
1.471833396794638,5.598323190618954,1.622341679518358,5.454097692634257,1.6744830794597982,5.974120515708714,1.7857669072244875,5.623344921276314,1.780785699249512,5.282387379821253,1.2006031132180413,1.715147304597202
1.7368871825815737,5.573639163675659,1.860734945248784,5.657201396032922,1.905566598613893,6.163435186492428,2.0687707860728133,5.941171821804355,1.8386079454062136,5.255163071414704,1.2006031132180413,1.715147304597202
1.84578491423403,5.470334939053737,1.8949094713816317,5.580934863826112,2.013812847723559,5.775488168030497,2.077254011239908,5.7750709186345865,1.938933565393914,5.242107714635475,1.2006031132180413,1.715147304597202
1.534000366360113,5.583486501925632,1.385754125057783,5.581527348102744,1.776355523215,6.112120392982622,1.7299641291951078,5.993059113572691,1.7202829453501367,5.287206186032288,1.2006031132180413,1.715147304597202
1.616560639147341,5.90921501472613,1.724299969603054,5.735905805329983,1.810518644892812,6.498339462295709,1.8084044204318133,5.946179669033983,1.6819320306849246,5.468408071356127,1.2006031132180413,1.715147304597202
1.3594099710213066,5.781923490048091,1.6250132926893734,5.665450622286306,1.5510614372422251,6.424627136846552,1.8311788414211088,5.993825141148249,1.74070636801858,5.4619366416265605,1.2006031132180413,1.715147304597202
1.4534061641498823,5.704517840547905,1.4712532285334334,5.648696873512075,1.66304785832739,6.334156724620811,1.742659510463528,6.015875943042785,1.716892877758485,5.382264399100042,1.2006031132180413,1.715147304597202
1.236023683563069,6.03206426955846,1.2364360720155996,5.812529442747522,1.479725126692058,6.524421104552558,1.4014888481416592,5.942951674108686,1.5323123597607915,5.553841400072456,1.2006031132180413,1.715147304597202
1.4390915825315145,5.802043524744408,1.3658819841835703,5.923288544432278,1.6309254074465582,6.294142004603108,1.4800324460560734,6.323750897158687,1.5886488546384037,5.509246173484647,1.2006031132180413,1.715147304597202
1.6329440890028084,5.542293865660271,1.462103628888884,5.695758081870785,1.8115855305381896,6.10061437909956,1.679714470956992,6.223583414225791,1.7685046906428084,5.376545289696957,1.2006031132180413,1.715147304597202
1.560983109608732,5.439811661799231,1.4487957775324052,5.589024052104875,1.7032752578840689,5.855136321353266,1.7046882422386886,5.964162590370286,1.7201381629304588,5.257820432547164,1.2006031132180413,1.715147304597202
2.156640424615712,5.721754426102972,1.6325833082975656,5.703909053149308,2.2747317329940144,6.002696886508418,1.728129193032754,6.069735106843972,1.9593160793979048,5.215748461353859,1.2006031132180413,1.715147304597202
1.5298146459650408,5.514160815199137,1.4490233958167944,5.347978535001018,1.7208542765679016,5.899848287667925,1.5493803500726078,5.603316716126643,1.67979069154629,5.10322738056996,1.2006031132180413,1.715147304597202
1.8426842274369628,5.602969521081731,1.7639987349028767,5.801204701086127,1.9981413521802696,6.173095527210031,1.943253260885717,6.221888546906103,1.905885839560828,5.4454431544535735,1.2006031132180413,1.715147304597202
1.8672122040077308,5.492480083495551,1.9151916908675184,5.595340884394343,2.0784938285603785,5.942668708277315,2.205279455046178,6.050235192437346,2.033938829025055,5.316095502021169,1.2006031132180413,1.715147304597202
1.6636633317886456,5.557561275871431,1.2919306744472427,5.492272603211668,1.8483910072358896,5.946355199620906,1.5103923903753076,5.960214913988541,1.7094017123203396,5.1559155301700414,1.2006031132180413,1.715147304597202
1.463452167329082,5.685691772893902,1.2685730426903792,5.619519960441953,1.6777076651201537,6.063425533544284,1.4615616686347046,5.879073484882879,1.5860570686305937,5.231428107461123,1.2006031132180413,1.715147304597202
1.5907327712224897,5.350490128439318,1.5025580087798591,5.319361647505679,1.7373214769077188,5.895508183562333,1.5388854070374869,5.839146678696867,1.691180999295303,5.156081966960105,1.2006031132180413,1.715147304597202
